date,indicator_id,region,value,source_url
2016-03-31,edinet-chuden-operating-income,JP,284991,https://api.edinet-fsa.go.jp/api/v2/documents/S1007UCF?type=5
2017-03-31,edinet-chuden-operating-income,JP,136443,https://api.edinet-fsa.go.jp/api/v2/documents/S100AG99?type=5
2018-03-31,edinet-chuden-operating-income,JP,136505,https://api.edinet-fsa.go.jp/api/v2/documents/S100CV0N?type=5
2019-03-31,edinet-chuden-operating-income,JP,125924,https://api.edinet-fsa.go.jp/api/v2/documents/S100FGA5?type=5
2020-03-31,edinet-chuden-operating-income,JP,130832,https://api.edinet-fsa.go.jp/api/v2/documents/S100J0BW?type=5
2021-03-31,edinet-chuden-operating-income,JP,145694,https://api.edinet-fsa.go.jp/api/v2/documents/S100LNJL?type=5
2022-03-31,edinet-chuden-operating-income,JP,-53830,https://api.edinet-fsa.go.jp/api/v2/documents/S100NM6F?type=5
2023-03-31,edinet-chuden-operating-income,JP,107089,https://api.edinet-fsa.go.jp/api/v2/documents/S100R9SJ?type=5
2024-03-31,edinet-chuden-operating-income,JP,343339,https://api.edinet-fsa.go.jp/api/v2/documents/S100T3LA?type=5
2025-03-31,edinet-chuden-operating-income,JP,242045,https://api.edinet-fsa.go.jp/api/v2/documents/S100VZ3E?type=5
2026-03-31,edinet-chuden-operating-income,JP,230042,https://api.edinet-fsa.go.jp/api/v2/documents/S100YDH0?type=5
