date,indicator_id,region,value,source_url
2016-03-31,edinet-chuden-ordinary-income,JP,255610,https://api.edinet-fsa.go.jp/api/v2/documents/S1007UCF?type=5
2017-03-31,edinet-chuden-ordinary-income,JP,121483,https://api.edinet-fsa.go.jp/api/v2/documents/S100AG99?type=5
2018-03-31,edinet-chuden-ordinary-income,JP,128532,https://api.edinet-fsa.go.jp/api/v2/documents/S100CV0N?type=5
2019-03-31,edinet-chuden-ordinary-income,JP,112929,https://api.edinet-fsa.go.jp/api/v2/documents/S100FGA5?type=5
2020-03-31,edinet-chuden-ordinary-income,JP,191803,https://api.edinet-fsa.go.jp/api/v2/documents/S100J0BW?type=5
2021-03-31,edinet-chuden-ordinary-income,JP,192209,https://api.edinet-fsa.go.jp/api/v2/documents/S100LNJL?type=5
2022-03-31,edinet-chuden-ordinary-income,JP,-59319,https://api.edinet-fsa.go.jp/api/v2/documents/S100NM6F?type=5
2023-03-31,edinet-chuden-ordinary-income,JP,65148,https://api.edinet-fsa.go.jp/api/v2/documents/S100R9SJ?type=5
2024-03-31,edinet-chuden-ordinary-income,JP,509295,https://api.edinet-fsa.go.jp/api/v2/documents/S100T3LA?type=5
2025-03-31,edinet-chuden-ordinary-income,JP,276400,https://api.edinet-fsa.go.jp/api/v2/documents/S100VZ3E?type=5
