date,indicator_id,region,value,source_url
2016-03-31,edinet-chuden-total-assets,JP,5538945,https://api.edinet-fsa.go.jp/api/v2/documents/S1007UCF?type=5
2017-03-31,edinet-chuden-total-assets,JP,5412307,https://api.edinet-fsa.go.jp/api/v2/documents/S100AG99?type=5
2018-03-31,edinet-chuden-total-assets,JP,5530188,https://api.edinet-fsa.go.jp/api/v2/documents/S100CV0N?type=5
2019-03-31,edinet-chuden-total-assets,JP,5987526,https://api.edinet-fsa.go.jp/api/v2/documents/S100FGA5?type=5
2020-03-31,edinet-chuden-total-assets,JP,5500815,https://api.edinet-fsa.go.jp/api/v2/documents/S100J0BW?type=5
2021-03-31,edinet-chuden-total-assets,JP,5686348,https://api.edinet-fsa.go.jp/api/v2/documents/S100LNJL?type=5
2022-03-31,edinet-chuden-total-assets,JP,6174734,https://api.edinet-fsa.go.jp/api/v2/documents/S100NM6F?type=5
2023-03-31,edinet-chuden-total-assets,JP,6455102,https://api.edinet-fsa.go.jp/api/v2/documents/S100R9SJ?type=5
2024-03-31,edinet-chuden-total-assets,JP,7108617,https://api.edinet-fsa.go.jp/api/v2/documents/S100T3LA?type=5
2025-03-31,edinet-chuden-total-assets,JP,7124812,https://api.edinet-fsa.go.jp/api/v2/documents/S100VZ3E?type=5
2026-03-31,edinet-chuden-total-assets,JP,7652700,https://api.edinet-fsa.go.jp/api/v2/documents/S100YDH0?type=5
