date,indicator_id,region,value,source_url
2016-03-31,edinet-energia-total-assets,JP,3070948,https://api.edinet-fsa.go.jp/api/v2/documents/S1007TJ1?type=5
2017-03-31,edinet-energia-total-assets,JP,3100754,https://api.edinet-fsa.go.jp/api/v2/documents/S100AERV?type=5
2018-03-31,edinet-energia-total-assets,JP,3179442,https://api.edinet-fsa.go.jp/api/v2/documents/S100DCRT?type=5
2019-03-31,edinet-energia-total-assets,JP,3261665,https://api.edinet-fsa.go.jp/api/v2/documents/S100GBCM?type=5
2020-03-31,edinet-energia-total-assets,JP,3265374,https://api.edinet-fsa.go.jp/api/v2/documents/S100IVOC?type=5
2021-03-31,edinet-energia-total-assets,JP,3385169,https://api.edinet-fsa.go.jp/api/v2/documents/S100LS1G?type=5
2022-03-31,edinet-energia-total-assets,JP,3566947,https://api.edinet-fsa.go.jp/api/v2/documents/S100OI9E?type=5
2023-03-31,edinet-energia-total-assets,JP,4040048,https://api.edinet-fsa.go.jp/api/v2/documents/S100R8QI?type=5
2024-03-31,edinet-energia-total-assets,JP,4133265,https://api.edinet-fsa.go.jp/api/v2/documents/S100TVNH?type=5
2025-03-31,edinet-energia-total-assets,JP,4360959,https://api.edinet-fsa.go.jp/api/v2/documents/S100W1TM?type=5
2026-03-31,edinet-energia-total-assets,JP,4620500,https://api.edinet-fsa.go.jp/api/v2/documents/S100YGCV?type=5
