date,indicator_id,region,value,source_url
2016-03-31,edinet-kepco-ordinary-income,JP,241651,https://api.edinet-fsa.go.jp/api/v2/documents/S1007ZVB?type=5
2017-03-31,edinet-kepco-ordinary-income,JP,196125,https://api.edinet-fsa.go.jp/api/v2/documents/S100AO9E?type=5
2018-03-31,edinet-kepco-ordinary-income,JP,217104,https://api.edinet-fsa.go.jp/api/v2/documents/S100DCR7?type=5
2019-03-31,edinet-kepco-ordinary-income,JP,203636,https://api.edinet-fsa.go.jp/api/v2/documents/S100G17T?type=5
2020-03-31,edinet-kepco-ordinary-income,JP,211541,https://api.edinet-fsa.go.jp/api/v2/documents/S100IRRA?type=5
2021-03-31,edinet-kepco-ordinary-income,JP,153850,https://api.edinet-fsa.go.jp/api/v2/documents/S100LKRF?type=5
2022-03-31,edinet-kepco-ordinary-income,JP,135955,https://api.edinet-fsa.go.jp/api/v2/documents/S100OJ76?type=5
2023-03-31,edinet-kepco-ordinary-income,JP,-6666,https://api.edinet-fsa.go.jp/api/v2/documents/S100R4SI?type=5
2024-03-31,edinet-kepco-ordinary-income,JP,765970,https://api.edinet-fsa.go.jp/api/v2/documents/S100TUNQ?type=5
2025-03-31,edinet-kepco-ordinary-income,JP,531686,https://api.edinet-fsa.go.jp/api/v2/documents/S100W38I?type=5
