date,indicator_id,region,value,source_url
2016-03-31,edinet-kepco-revenue,JP,3245906,https://api.edinet-fsa.go.jp/api/v2/documents/S1007ZVB?type=5
2017-03-31,edinet-kepco-revenue,JP,3011337,https://api.edinet-fsa.go.jp/api/v2/documents/S100AO9E?type=5
2018-03-31,edinet-kepco-revenue,JP,3133632,https://api.edinet-fsa.go.jp/api/v2/documents/S100DCR7?type=5
2019-03-31,edinet-kepco-revenue,JP,3307661,https://api.edinet-fsa.go.jp/api/v2/documents/S100G17T?type=5
2020-03-31,edinet-kepco-revenue,JP,3184259,https://api.edinet-fsa.go.jp/api/v2/documents/S100IRRA?type=5
2021-03-31,edinet-kepco-revenue,JP,3092398,https://api.edinet-fsa.go.jp/api/v2/documents/S100LKRF?type=5
2022-03-31,edinet-kepco-revenue,JP,2851894,https://api.edinet-fsa.go.jp/api/v2/documents/S100OJ76?type=5
2023-03-31,edinet-kepco-revenue,JP,3951884,https://api.edinet-fsa.go.jp/api/v2/documents/S100R4SI?type=5
2024-03-31,edinet-kepco-revenue,JP,4059378,https://api.edinet-fsa.go.jp/api/v2/documents/S100TUNQ?type=5
2025-03-31,edinet-kepco-revenue,JP,4337111,https://api.edinet-fsa.go.jp/api/v2/documents/S100W38I?type=5
