date,indicator_id,region,value,source_url
2016-03-31,edinet-kyuden-operating-income,JP,120256,https://api.edinet-fsa.go.jp/api/v2/documents/S1007MCL?type=5
2017-03-31,edinet-kyuden-operating-income,JP,122640,https://api.edinet-fsa.go.jp/api/v2/documents/S100ANWS?type=5
2018-03-31,edinet-kyuden-operating-income,JP,103123,https://api.edinet-fsa.go.jp/api/v2/documents/S100DGTM?type=5
2019-03-31,edinet-kyuden-operating-income,JP,86575,https://api.edinet-fsa.go.jp/api/v2/documents/S100G9N2?type=5
2020-03-31,edinet-kyuden-operating-income,JP,63813,https://api.edinet-fsa.go.jp/api/v2/documents/S100IY0C?type=5
2021-03-31,edinet-kyuden-operating-income,JP,77397,https://api.edinet-fsa.go.jp/api/v2/documents/S100LRPH?type=5
2022-03-31,edinet-kyuden-operating-income,JP,48624,https://api.edinet-fsa.go.jp/api/v2/documents/S100OL50?type=5
2023-03-31,edinet-kyuden-operating-income,JP,-72998,https://api.edinet-fsa.go.jp/api/v2/documents/S100R7AV?type=5
2024-03-31,edinet-kyuden-operating-income,JP,254919,https://api.edinet-fsa.go.jp/api/v2/documents/S100TTZH?type=5
2025-03-31,edinet-kyuden-operating-income,JP,199564,https://api.edinet-fsa.go.jp/api/v2/documents/S100W361?type=5
