date,indicator_id,region,value,source_url
2016-03-31,edinet-rikuden-operating-income,JP,38124,https://api.edinet-fsa.go.jp/api/v2/documents/S1007YPQ?type=5
2017-03-31,edinet-rikuden-operating-income,JP,10539,https://api.edinet-fsa.go.jp/api/v2/documents/S100AO9Y?type=5
2018-03-31,edinet-rikuden-operating-income,JP,14826,https://api.edinet-fsa.go.jp/api/v2/documents/S100DDPQ?type=5
2019-03-31,edinet-rikuden-operating-income,JP,12824,https://api.edinet-fsa.go.jp/api/v2/documents/S100G7OV?type=5
2020-03-31,edinet-rikuden-operating-income,JP,29461,https://api.edinet-fsa.go.jp/api/v2/documents/S100IXJ3?type=5
2021-03-31,edinet-rikuden-operating-income,JP,17828,https://api.edinet-fsa.go.jp/api/v2/documents/S100LNU4?type=5
2022-03-31,edinet-rikuden-operating-income,JP,-16390,https://api.edinet-fsa.go.jp/api/v2/documents/S100OE6E?type=5
2023-03-31,edinet-rikuden-operating-income,JP,-73791,https://api.edinet-fsa.go.jp/api/v2/documents/S100R6NI?type=5
2024-03-31,edinet-rikuden-operating-income,JP,114911,https://api.edinet-fsa.go.jp/api/v2/documents/S100TTLG?type=5
2025-03-31,edinet-rikuden-operating-income,JP,101034,https://api.edinet-fsa.go.jp/api/v2/documents/S100W61P?type=5
