date,indicator_id,region,value,source_url
2016-03-31,edinet-tepco-net-income,JP,140783,https://api.edinet-fsa.go.jp/api/v2/documents/S10080P8?type=5
2017-03-31,edinet-tepco-net-income,JP,132810,https://api.edinet-fsa.go.jp/api/v2/documents/S100AP4S?type=5
2018-03-31,edinet-tepco-net-income,JP,318077,https://api.edinet-fsa.go.jp/api/v2/documents/S100DGU4?type=5
2019-03-31,edinet-tepco-net-income,JP,232414,https://api.edinet-fsa.go.jp/api/v2/documents/S100GAZW?type=5
2020-03-31,edinet-tepco-net-income,JP,50703,https://api.edinet-fsa.go.jp/api/v2/documents/S100IZPG?type=5
2021-03-31,edinet-tepco-net-income,JP,180896,https://api.edinet-fsa.go.jp/api/v2/documents/S100LV6U?type=5
2022-03-31,edinet-tepco-net-income,JP,5640,https://api.edinet-fsa.go.jp/api/v2/documents/S100OKB1?type=5
2023-03-31,edinet-tepco-net-income,JP,-123631,https://api.edinet-fsa.go.jp/api/v2/documents/S100R8P3?type=5
2024-03-31,edinet-tepco-net-income,JP,267850,https://api.edinet-fsa.go.jp/api/v2/documents/S100TVQJ?type=5
2025-03-31,edinet-tepco-net-income,JP,161278,https://api.edinet-fsa.go.jp/api/v2/documents/S100W4QX?type=5
2026-03-31,edinet-tepco-net-income,JP,-454263,https://api.edinet-fsa.go.jp/api/v2/documents/S100YIHR?type=5
