date,indicator_id,region,value,source_url
2016-03-31,edinet-tepco-operating-income,JP,372231,https://api.edinet-fsa.go.jp/api/v2/documents/S10080P8?type=5
2017-03-31,edinet-tepco-operating-income,JP,258680,https://api.edinet-fsa.go.jp/api/v2/documents/S100AP4S?type=5
2018-03-31,edinet-tepco-operating-income,JP,288470,https://api.edinet-fsa.go.jp/api/v2/documents/S100DGU4?type=5
2019-03-31,edinet-tepco-operating-income,JP,312257,https://api.edinet-fsa.go.jp/api/v2/documents/S100GAZW?type=5
2020-03-31,edinet-tepco-operating-income,JP,211841,https://api.edinet-fsa.go.jp/api/v2/documents/S100IZPG?type=5
2021-03-31,edinet-tepco-operating-income,JP,143460,https://api.edinet-fsa.go.jp/api/v2/documents/S100LV6U?type=5
2022-03-31,edinet-tepco-operating-income,JP,46230,https://api.edinet-fsa.go.jp/api/v2/documents/S100OKB1?type=5
2023-03-31,edinet-tepco-operating-income,JP,-228969,https://api.edinet-fsa.go.jp/api/v2/documents/S100R8P3?type=5
2024-03-31,edinet-tepco-operating-income,JP,278856,https://api.edinet-fsa.go.jp/api/v2/documents/S100TVQJ?type=5
2025-03-31,edinet-tepco-operating-income,JP,234452,https://api.edinet-fsa.go.jp/api/v2/documents/S100W4QX?type=5
