date,indicator_id,region,value,source_url
2016-03-31,edinet-tohoku-net-income,JP,97325,https://api.edinet-fsa.go.jp/api/v2/documents/S1007PLJ?type=5
2017-03-31,edinet-tohoku-net-income,JP,69931,https://api.edinet-fsa.go.jp/api/v2/documents/S100AKZ1?type=5
2018-03-31,edinet-tohoku-net-income,JP,47216,https://api.edinet-fsa.go.jp/api/v2/documents/S100DBEZ?type=5
2019-03-31,edinet-tohoku-net-income,JP,46483,https://api.edinet-fsa.go.jp/api/v2/documents/S100G3MC?type=5
2020-03-31,edinet-tohoku-net-income,JP,63074,https://api.edinet-fsa.go.jp/api/v2/documents/S100IU9N?type=5
2021-03-31,edinet-tohoku-net-income,JP,29380,https://api.edinet-fsa.go.jp/api/v2/documents/S100LMLL?type=5
2022-03-31,edinet-tohoku-net-income,JP,-108362,https://api.edinet-fsa.go.jp/api/v2/documents/S100OIEE?type=5
2023-03-31,edinet-tohoku-net-income,JP,-127562,https://api.edinet-fsa.go.jp/api/v2/documents/S100R42K?type=5
2024-03-31,edinet-tohoku-net-income,JP,226102,https://api.edinet-fsa.go.jp/api/v2/documents/S100TOO5?type=5
2025-03-31,edinet-tohoku-net-income,JP,182807,https://api.edinet-fsa.go.jp/api/v2/documents/S100W1ER?type=5
2026-03-31,edinet-tohoku-net-income,JP,84975,https://api.edinet-fsa.go.jp/api/v2/documents/S100YEK2?type=5
