date,indicator_id,region,value,source_url
2016-03-31,edinet-tohoku-total-assets,JP,4152436,https://api.edinet-fsa.go.jp/api/v2/documents/S1007PLJ?type=5
2017-03-31,edinet-tohoku-total-assets,JP,4145928,https://api.edinet-fsa.go.jp/api/v2/documents/S100AKZ1?type=5
2018-03-31,edinet-tohoku-total-assets,JP,4222163,https://api.edinet-fsa.go.jp/api/v2/documents/S100DBEZ?type=5
2019-03-31,edinet-tohoku-total-assets,JP,4258633,https://api.edinet-fsa.go.jp/api/v2/documents/S100G3MC?type=5
2020-03-31,edinet-tohoku-total-assets,JP,4323099,https://api.edinet-fsa.go.jp/api/v2/documents/S100IU9N?type=5
2021-03-31,edinet-tohoku-total-assets,JP,4471081,https://api.edinet-fsa.go.jp/api/v2/documents/S100LMLL?type=5
2022-03-31,edinet-tohoku-total-assets,JP,4725651,https://api.edinet-fsa.go.jp/api/v2/documents/S100OIEE?type=5
2023-03-31,edinet-tohoku-total-assets,JP,5211914,https://api.edinet-fsa.go.jp/api/v2/documents/S100R42K?type=5
2024-03-31,edinet-tohoku-total-assets,JP,5388723,https://api.edinet-fsa.go.jp/api/v2/documents/S100TOO5?type=5
2025-03-31,edinet-tohoku-total-assets,JP,5398213,https://api.edinet-fsa.go.jp/api/v2/documents/S100W1ER?type=5
2026-03-31,edinet-tohoku-total-assets,JP,5731856,https://api.edinet-fsa.go.jp/api/v2/documents/S100YEK2?type=5
