date,indicator_id,region,value,source_url
2018-04-01,meti-demand-lights,jp,13029.401,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-05-01,meti-demand-lights,jp,12127.421,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-06-01,meti-demand-lights,jp,11235.66,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-07-01,meti-demand-lights,jp,13981.093,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-08-01,meti-demand-lights,jp,17762.796,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-09-01,meti-demand-lights,jp,15105.809,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-10-01,meti-demand-lights,jp,11192.621,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-11-01,meti-demand-lights,jp,11386.046,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2018-12-01,meti-demand-lights,jp,13290.137,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-01-01,meti-demand-lights,jp,17772.071,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-02-01,meti-demand-lights,jp,15967.079,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-03-01,meti-demand-lights,jp,13323.288,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-04-01,meti-demand-lights,jp,12198.379,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-05-01,meti-demand-lights,jp,11199.313,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-06-01,meti-demand-lights,jp,9591.927,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-07-01,meti-demand-lights,jp,10378.503,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-08-01,meti-demand-lights,jp,14796.526,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-09-01,meti-demand-lights,jp,12902.11,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-10-01,meti-demand-lights,jp,10681.034,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-11-01,meti-demand-lights,jp,10112.901,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2019-12-01,meti-demand-lights,jp,11377.444,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2020-01-01,meti-demand-lights,jp,14764.605,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2020-02-01,meti-demand-lights,jp,13037.986,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2020-03-01,meti-demand-lights,jp,11842.978,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2020-04-01,meti-demand-lights,jp,11126.34,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2020-05-01,meti-demand-lights,jp,9693.95,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
