date,indicator_id,region,value,source_url
2022-04-01,meti-demand-total,jp,69465.461,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-05-01,meti-demand-total,jp,63697.37,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-06-01,meti-demand-total,jp,65307.611,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-07-01,meti-demand-total,jp,75728.783,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-08-01,meti-demand-total,jp,80524.088,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-09-01,meti-demand-total,jp,76440.051,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-10-01,meti-demand-total,jp,70610.86,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-11-01,meti-demand-total,jp,64172.353,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-12-01,meti-demand-total,jp,70221.255,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-01-01,meti-demand-total,jp,81953.549,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-02-01,meti-demand-total,jp,77750.972,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-03-01,meti-demand-total,jp,70667.625,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-04-01,meti-demand-total,jp,63851.019,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-05-01,meti-demand-total,jp,61370.545,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-06-01,meti-demand-total,jp,63414.027,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-07-01,meti-demand-total,jp,73200.377,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-08-01,meti-demand-total,jp,81597.882,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-09-01,meti-demand-total,jp,79355.324,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-10-01,meti-demand-total,jp,66998.306,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-11-01,meti-demand-total,jp,62181.981,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-12-01,meti-demand-total,jp,69257.821,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-01-01,meti-demand-total,jp,78108.202,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-02-01,meti-demand-total,jp,76124.35,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-03-01,meti-demand-total,jp,74174.934,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-04-01,meti-demand-total,jp,66050.458,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-05-01,meti-demand-total,jp,61379.648,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-06-01,meti-demand-total,jp,62842.512,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-07-01,meti-demand-total,jp,73503.159,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-08-01,meti-demand-total,jp,83403.385,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-09-01,meti-demand-total,jp,79497.389,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-10-01,meti-demand-total,jp,69283.285,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-11-01,meti-demand-total,jp,63042.327,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-12-01,meti-demand-total,jp,68409.689,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-01-01,meti-demand-total,jp,81580.43,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-02-01,meti-demand-total,jp,77921.758,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-03-01,meti-demand-total,jp,74102.489,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-04-01,meti-demand-total,jp,65874.263,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-05-01,meti-demand-total,jp,65883.918,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-06-01,meti-demand-total,jp,63621.794,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-07-01,meti-demand-total,jp,77558.916,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-08-01,meti-demand-total,jp,82434.379,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-09-01,meti-demand-total,jp,79134.795,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-10-01,meti-demand-total,jp,67900.151,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-11-01,meti-demand-total,jp,63343.93,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-12-01,meti-demand-total,jp,68284.372,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-01-01,meti-demand-total,jp,76518.351,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-02-01,meti-demand-total,jp,77433.497,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-03-01,meti-demand-total,jp,70715.772,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-04-01,meti-demand-total,jp,64150.033,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-05-01,meti-demand-total,jp,61012.706,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
