date,indicator_id,region,value,source_url
2021-01-01,meti-gen-hydro,jp,38245.608,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-02-01,meti-gen-hydro,jp,31544.286,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-03-01,meti-gen-hydro,jp,28113.284,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-04-01,meti-gen-hydro,jp,22277.142,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-05-01,meti-gen-hydro,jp,21274.177,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-06-01,meti-gen-hydro,jp,24319.782,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-07-01,meti-gen-hydro,jp,28638.004,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-08-01,meti-gen-hydro,jp,27280.781,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-09-01,meti-gen-hydro,jp,20865.315,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-10-01,meti-gen-hydro,jp,23994.978,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-11-01,meti-gen-hydro,jp,26075.822,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-12-01,meti-gen-hydro,jp,30459.914,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-01-01,meti-gen-hydro,jp,35418.358,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-02-01,meti-gen-hydro,jp,31602.105,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-03-01,meti-gen-hydro,jp,26877.156,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-04-01,meti-gen-hydro,jp,8669.73,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-05-01,meti-gen-hydro,jp,9402.67,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-06-01,meti-gen-hydro,jp,8080.988,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-07-01,meti-gen-hydro,jp,8342.279,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-08-01,meti-gen-hydro,jp,8520.597,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-09-01,meti-gen-hydro,jp,8535.175,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-10-01,meti-gen-hydro,jp,5755.405,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-11-01,meti-gen-hydro,jp,3852.216,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-12-01,meti-gen-hydro,jp,5011.809,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-01-01,meti-gen-hydro,jp,5097.651,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-02-01,meti-gen-hydro,jp,4918.424,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-03-01,meti-gen-hydro,jp,7030.965,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-04-01,meti-gen-hydro,jp,8659.419,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-05-01,meti-gen-hydro,jp,9698.616,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-06-01,meti-gen-hydro,jp,8998.988,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-07-01,meti-gen-hydro,jp,8885.621,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-08-01,meti-gen-hydro,jp,7389.16,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-09-01,meti-gen-hydro,jp,5519.059,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-10-01,meti-gen-hydro,jp,4602.451,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-11-01,meti-gen-hydro,jp,4386.78,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-12-01,meti-gen-hydro,jp,5513.323,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-01-01,meti-gen-hydro,jp,5558.383,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-02-01,meti-gen-hydro,jp,6009.096,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
