date,indicator_id,region,value,source_url
2023-04-01,meti-gen-total,jp,57142.1,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-05-01,meti-gen-total,jp,57588.863,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-06-01,meti-gen-total,jp,62921.373,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-07-01,meti-gen-total,jp,76549.015,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-08-01,meti-gen-total,jp,79721.494,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-09-01,meti-gen-total,jp,72634.841,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-10-01,meti-gen-total,jp,59987.056,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-11-01,meti-gen-total,jp,63324.426,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-12-01,meti-gen-total,jp,74687.079,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-01-01,meti-gen-total,jp,77687.823,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-02-01,meti-gen-total,jp,72080.384,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-03-01,meti-gen-total,jp,72118.669,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-04-01,meti-gen-total,jp,57785.985,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-05-01,meti-gen-total,jp,57366.677,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-06-01,meti-gen-total,jp,61005.776,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-07-01,meti-gen-total,jp,79749.906,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-08-01,meti-gen-total,jp,80051.363,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-09-01,meti-gen-total,jp,73434.955,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-10-01,meti-gen-total,jp,64033.38,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-11-01,meti-gen-total,jp,62706.406,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-12-01,meti-gen-total,jp,75145.113,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-01-01,meti-gen-total,jp,79722.17,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-02-01,meti-gen-total,jp,74350.643,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-03-01,meti-gen-total,jp,69987.359,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-04-01,meti-gen-total,jp,57880.996,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-05-01,meti-gen-total,jp,57203.64,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-06-01,meti-gen-total,jp,64698.832,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-07-01,meti-gen-total,jp,79585.084,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-08-01,meti-gen-total,jp,78788.049,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-09-01,meti-gen-total,jp,72009.753,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-10-01,meti-gen-total,jp,63358.71,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-11-01,meti-gen-total,jp,62438.486,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-12-01,meti-gen-total,jp,74054.277,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-01-01,meti-gen-total,jp,81304.121,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-02-01,meti-gen-total,jp,69493.492,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-03-01,meti-gen-total,jp,67043.568,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-04-01,meti-gen-total,jp,57033.938,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-05-01,meti-gen-total,jp,15.977,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
