date,indicator_id,region,value,source_url
2021-01-01,meti-gen-wind,jp,188.18,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-02-01,meti-gen-wind,jp,170.243,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-03-01,meti-gen-wind,jp,178.913,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-04-01,meti-gen-wind,jp,173.737,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-05-01,meti-gen-wind,jp,156.962,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-06-01,meti-gen-wind,jp,132.185,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-07-01,meti-gen-wind,jp,121.119,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-08-01,meti-gen-wind,jp,154.868,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-09-01,meti-gen-wind,jp,160.989,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-10-01,meti-gen-wind,jp,164.133,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-11-01,meti-gen-wind,jp,154.693,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-12-01,meti-gen-wind,jp,192.064,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-01-01,meti-gen-wind,jp,196.122,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-02-01,meti-gen-wind,jp,174.506,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-03-01,meti-gen-wind,jp,185.829,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-04-01,meti-gen-wind,jp,541.241,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-05-01,meti-gen-wind,jp,498.412,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-06-01,meti-gen-wind,jp,526.579,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-07-01,meti-gen-wind,jp,379.546,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-08-01,meti-gen-wind,jp,433.941,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-09-01,meti-gen-wind,jp,437.161,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-10-01,meti-gen-wind,jp,559.906,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-11-01,meti-gen-wind,jp,641.563,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-12-01,meti-gen-wind,jp,1025.309,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-01-01,meti-gen-wind,jp,973.401,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-02-01,meti-gen-wind,jp,764.877,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-03-01,meti-gen-wind,jp,629.006,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-04-01,meti-gen-wind,jp,808.279,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-05-01,meti-gen-wind,jp,550.908,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-06-01,meti-gen-wind,jp,467.224,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-07-01,meti-gen-wind,jp,476.341,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-08-01,meti-gen-wind,jp,509.814,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-09-01,meti-gen-wind,jp,355.615,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-10-01,meti-gen-wind,jp,609.115,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-11-01,meti-gen-wind,jp,885.19,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-12-01,meti-gen-wind,jp,950.052,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-01-01,meti-gen-wind,jp,1035.171,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-02-01,meti-gen-wind,jp,847.171,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-03-01,meti-gen-wind,jp,911.328,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-04-01,meti-gen-wind,jp,667.599,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-05-01,meti-gen-wind,jp,784.02,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-06-01,meti-gen-wind,jp,521.002,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-07-01,meti-gen-wind,jp,637.246,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-08-01,meti-gen-wind,jp,411.014,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-09-01,meti-gen-wind,jp,502.702,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-10-01,meti-gen-wind,jp,711.286,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-11-01,meti-gen-wind,jp,911.643,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-12-01,meti-gen-wind,jp,1318.335,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-01-01,meti-gen-wind,jp,997.682,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-02-01,meti-gen-wind,jp,1226.927,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-03-01,meti-gen-wind,jp,1088.724,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-04-01,meti-gen-wind,jp,920.659,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-05-01,meti-gen-wind,jp,809.164,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-06-01,meti-gen-wind,jp,641.728,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-07-01,meti-gen-wind,jp,524.317,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-08-01,meti-gen-wind,jp,462.671,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-09-01,meti-gen-wind,jp,563.334,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-10-01,meti-gen-wind,jp,692.49,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-11-01,meti-gen-wind,jp,1070.666,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-12-01,meti-gen-wind,jp,1296.18,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-01-01,meti-gen-wind,jp,1434.808,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-02-01,meti-gen-wind,jp,1064.016,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-03-01,meti-gen-wind,jp,947.391,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-04-01,meti-gen-wind,jp,973.157,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2026-05-01,meti-gen-wind,jp,7241.271,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
