date,indicator_id,region,value,source_url
2005-01-01,eu-ets-emissions-country-nl,NL,80.351292,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2006-01-01,eu-ets-emissions-country-nl,NL,76.702137,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2007-01-01,eu-ets-emissions-country-nl,NL,79.872395,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2008-01-01,eu-ets-emissions-country-nl,NL,83.510582,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2009-01-01,eu-ets-emissions-country-nl,NL,81.0307,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2010-01-01,eu-ets-emissions-country-nl,NL,84.735599,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2011-01-01,eu-ets-emissions-country-nl,NL,79.966837,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2012-01-01,eu-ets-emissions-country-nl,NL,80.601798,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2013-01-01,eu-ets-emissions-country-nl,NL,89.150859,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2014-01-01,eu-ets-emissions-country-nl,NL,91.348377,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2015-01-01,eu-ets-emissions-country-nl,NL,96.432479,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2016-01-01,eu-ets-emissions-country-nl,NL,96.470766,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2017-01-01,eu-ets-emissions-country-nl,NL,94.236735,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2018-01-01,eu-ets-emissions-country-nl,NL,90.235906,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2019-01-01,eu-ets-emissions-country-nl,NL,86.664821,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2020-01-01,eu-ets-emissions-country-nl,NL,75.366957,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2021-01-01,eu-ets-emissions-country-nl,NL,75.786144,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2022-01-01,eu-ets-emissions-country-nl,NL,70.913424,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2023-01-01,eu-ets-emissions-country-nl,NL,61.547306,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2024-01-01,eu-ets-emissions-country-nl,NL,70.401855,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
2025-01-01,eu-ets-emissions-country-nl,NL,69.081267,https://www.eea.europa.eu/en/datahub/datahubitem-view/98f04097-26de-4fca-86c4-63834818c0c0
