date,indicator_id,region,value,source_url
1992-08-01,fx-usdjpy-monthly-high,jp,128.1,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-09-01,fx-usdjpy-monthly-high,jp,125.2,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-10-01,fx-usdjpy-monthly-high,jp,123.35,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-11-01,fx-usdjpy-monthly-high,jp,124.88,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-12-01,fx-usdjpy-monthly-high,jp,125.05,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-01-01,fx-usdjpy-monthly-high,jp,125.95,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-02-01,fx-usdjpy-monthly-high,jp,125.25,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-03-01,fx-usdjpy-monthly-high,jp,118.85,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-04-01,fx-usdjpy-monthly-high,jp,115.22,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-05-01,fx-usdjpy-monthly-high,jp,112.3,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-06-01,fx-usdjpy-monthly-high,jp,111.6,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-07-01,fx-usdjpy-monthly-high,jp,110.23,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-08-01,fx-usdjpy-monthly-high,jp,105.55,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-09-01,fx-usdjpy-monthly-high,jp,106.43,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
