date,indicator_id,region,value,source_url
1992-08-01,fx-usdjpy-monthly-low,jp,122.69,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-09-01,fx-usdjpy-monthly-low,jp,118.6,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-10-01,fx-usdjpy-monthly-low,jp,118.9,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-11-01,fx-usdjpy-monthly-low,jp,122.15,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1992-12-01,fx-usdjpy-monthly-low,jp,122.9,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-01-01,fx-usdjpy-monthly-low,jp,123.62,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-02-01,fx-usdjpy-monthly-low,jp,116.3,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-03-01,fx-usdjpy-monthly-low,jp,115.2,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-04-01,fx-usdjpy-monthly-low,jp,109.9,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-05-01,fx-usdjpy-monthly-low,jp,107.1,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-06-01,fx-usdjpy-monthly-low,jp,104.8,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-07-01,fx-usdjpy-monthly-low,jp,105.6,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-08-01,fx-usdjpy-monthly-low,jp,100.4,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-09-01,fx-usdjpy-monthly-low,jp,103.8,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-10-01,fx-usdjpy-monthly-low,jp,104.92,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-11-01,fx-usdjpy-monthly-low,jp,105.65,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1993-12-01,fx-usdjpy-monthly-low,jp,107.57,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-01-01,fx-usdjpy-monthly-low,jp,108.58,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-02-01,fx-usdjpy-monthly-low,jp,101.9,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-03-01,fx-usdjpy-monthly-low,jp,102.52,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-04-01,fx-usdjpy-monthly-low,jp,102.3,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-05-01,fx-usdjpy-monthly-low,jp,101.48,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-06-01,fx-usdjpy-monthly-low,jp,98.75,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-07-01,fx-usdjpy-monthly-low,jp,97.05,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-08-01,fx-usdjpy-monthly-low,jp,97.55,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-09-01,fx-usdjpy-monthly-low,jp,97.63,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-10-01,fx-usdjpy-monthly-low,jp,96.55,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-11-01,fx-usdjpy-monthly-low,jp,96.35,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1994-12-01,fx-usdjpy-monthly-low,jp,98.83,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1995-01-01,fx-usdjpy-monthly-low,jp,98.42,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
1995-02-01,fx-usdjpy-monthly-low,jp,96.54,"https://www.stat-search.boj.or.jp/api/v1/getDataCode?db=FM08&code=FXERM07,FXERM06,FXERM03,FXERM05"
