date,indicator_id,region,value,source_url
2016-01-01,jp-import-value-crude-kw,KW,338321668.0,https://www.e-stat.go.jp/
2017-01-01,jp-import-value-crude-kw,KW,492805695.0,https://www.e-stat.go.jp/
2018-01-01,jp-import-value-crude-kw,KW,666513188.0,https://www.e-stat.go.jp/
2019-01-01,jp-import-value-crude-kw,KW,668561740.0,https://www.e-stat.go.jp/
2020-01-01,jp-import-value-crude-kw,KW,414575174.0,https://www.e-stat.go.jp/
2021-01-01,jp-import-value-crude-kw,KW,589206100.0,https://www.e-stat.go.jp/
2022-01-01,jp-import-value-crude-kw,KW,1108776149.0,https://www.e-stat.go.jp/
2023-01-01,jp-import-value-crude-kw,KW,1009485051.0,https://www.e-stat.go.jp/
2024-01-01,jp-import-value-crude-kw,KW,736374876.0,https://www.e-stat.go.jp/
2025-01-01,jp-import-value-crude-kw,KW,583183744.0,https://www.e-stat.go.jp/
