date,indicator_id,region,value,source_url
2016-01-01,jp-import-value-crude-sa,SA,1952530872.0,https://www.e-stat.go.jp/
2017-01-01,jp-import-value-crude-sa,SA,2874538392.0,https://www.e-stat.go.jp/
2018-01-01,jp-import-value-crude-sa,SA,3450170761.0,https://www.e-stat.go.jp/
2019-01-01,jp-import-value-crude-sa,SA,2840084895.0,https://www.e-stat.go.jp/
2020-01-01,jp-import-value-crude-sa,SA,1836396494.0,https://www.e-stat.go.jp/
2021-01-01,jp-import-value-crude-sa,SA,2768379936.0,https://www.e-stat.go.jp/
2022-01-01,jp-import-value-crude-sa,SA,5318107641.0,https://www.e-stat.go.jp/
2023-01-01,jp-import-value-crude-sa,SA,4662919611.0,https://www.e-stat.go.jp/
2024-01-01,jp-import-value-crude-sa,SA,4351636728.0,https://www.e-stat.go.jp/
2025-01-01,jp-import-value-crude-sa,SA,3808671163.0,https://www.e-stat.go.jp/
