date,indicator_id,region,value,source_url
2016-01-01,jp-import-value-lng-ru,RU,271559041.0,https://www.e-stat.go.jp/
2017-01-01,jp-import-value-lng-ru,RU,311546460.0,https://www.e-stat.go.jp/
2018-01-01,jp-import-value-lng-ru,RU,358032241.0,https://www.e-stat.go.jp/
2019-01-01,jp-import-value-lng-ru,RU,337528306.0,https://www.e-stat.go.jp/
2020-01-01,jp-import-value-lng-ru,RU,250463774.0,https://www.e-stat.go.jp/
2021-01-01,jp-import-value-lng-ru,RU,371585817.0,https://www.e-stat.go.jp/
2022-01-01,jp-import-value-lng-ru,RU,678326112.0,https://www.e-stat.go.jp/
2023-01-01,jp-import-value-lng-ru,RU,582740634.0,https://www.e-stat.go.jp/
2024-01-01,jp-import-value-lng-ru,RU,547140373.0,https://www.e-stat.go.jp/
2025-01-01,jp-import-value-lng-ru,RU,502023948.0,https://www.e-stat.go.jp/
