date,indicator_id,region,value,source_url
2025-04-01,china-nbs-mfg-pmi,cn,49.0,https://www.stats.gov.cn/english/PressRelease/202605/t20260506_1963595.html
2025-05-01,china-nbs-mfg-pmi,cn,49.5,https://www.stats.gov.cn/english/PressRelease/202606/t20260601_1963851.html
2025-06-01,china-nbs-mfg-pmi,cn,49.7,https://www.stats.gov.cn/english/PressRelease/202607/t20260701_1964047.html
2025-07-01,china-nbs-mfg-pmi,cn,49.3,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2025-08-01,china-nbs-mfg-pmi,cn,49.4,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2025-09-01,china-nbs-mfg-pmi,cn,49.8,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2025-10-01,china-nbs-mfg-pmi,cn,49.0,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2025-11-01,china-nbs-mfg-pmi,cn,49.2,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2025-12-01,china-nbs-mfg-pmi,cn,50.1,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-01-01,china-nbs-mfg-pmi,cn,49.3,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-02-01,china-nbs-mfg-pmi,cn,49.0,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-03-01,china-nbs-mfg-pmi,cn,50.4,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-04-01,china-nbs-mfg-pmi,cn,50.3,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-05-01,china-nbs-mfg-pmi,cn,50.0,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-06-01,china-nbs-mfg-pmi,cn,50.3,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
2026-07-01,china-nbs-mfg-pmi,cn,49.2,https://www.stats.gov.cn/english/PressRelease/202608/t20260803_1964272.html
