date,indicator_id,region,value,source_url
1980-01-01,eia-co2-cn,cn,1596.69638631,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-cn,cn,1587.190303195,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-cn,cn,1671.101704097,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-cn,cn,1785.801618532,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-cn,cn,1948.070593329,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-cn,cn,2066.962675133,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-cn,cn,2139.77531038,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-cn,cn,2259.80811238,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-cn,cn,2405.653731514,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-cn,cn,2413.191859479,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-cn,cn,2417.241264382,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-cn,cn,2460.412875579,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-cn,cn,2541.080384708,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-cn,cn,2730.930852358,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-cn,cn,2916.39147434,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-cn,cn,3140.322857361,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-cn,cn,3240.418927252,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-cn,cn,3143.568283036,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-cn,cn,3132.091526409,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-cn,cn,3248.272869507,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-cn,cn,3482.708683778,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-cn,cn,3615.319298673,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-cn,cn,3857.315271143,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-cn,cn,4469.340962115,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-cn,cn,5397.860863322,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-cn,cn,6120.077564126,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-cn,cn,6750.666894778,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-cn,cn,7057.568452367,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-cn,cn,7505.110562847,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-cn,cn,8204.136739711,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-cn,cn,9003.659583588,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-cn,cn,9892.523226965,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-cn,cn,10478.960468891,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-cn,cn,10732.002366681,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-cn,cn,10654.275247466,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-cn,cn,10427.086484114,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-cn,cn,10261.596587956,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-cn,cn,10408.110845302,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-cn,cn,10601.870440226,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-cn,cn,11155.642025352,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-cn,cn,11205.756487405,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-cn,cn,11583.53741419,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-cn,cn,11486.156956087,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-cn,cn,12265.305752552,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-cn,cn,12715.943177949,https://www.eia.gov/international/data/world
