date,indicator_id,region,value,source_url
1980-01-01,eia-co2-eu27,eu27,3920.824006928,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-eu27,eu27,3724.086905432,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-eu27,eu27,3744.287998576,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-eu27,eu27,3680.409034801,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-eu27,eu27,3840.750210127,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-eu27,eu27,3904.80615453,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-eu27,eu27,3970.953611731,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-eu27,eu27,4006.642441339,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-eu27,eu27,3968.901650648,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-eu27,eu27,3970.626771791,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-eu27,eu27,3854.71630659,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-eu27,eu27,3646.21940313,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-eu27,eu27,3619.135256603,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-eu27,eu27,3549.879172288,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-eu27,eu27,3517.688599941,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-eu27,eu27,3590.954605043,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-eu27,eu27,3675.543701427,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-eu27,eu27,3621.214350872,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-eu27,eu27,3615.30757436,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-eu27,eu27,3546.333484569,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-eu27,eu27,3575.377838179,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-eu27,eu27,3638.129974965,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-eu27,eu27,3631.188343581,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-eu27,eu27,3700.07074609,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-eu27,eu27,3719.609740134,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-eu27,eu27,3718.708981045,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-eu27,eu27,3736.158479606,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-eu27,eu27,3686.702141095,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-eu27,eu27,3633.771148525,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-eu27,eu27,3377.161409406,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-eu27,eu27,3456.681960796,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-eu27,eu27,3370.147361088,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-eu27,eu27,3298.452768165,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-eu27,eu27,3233.894895138,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-eu27,eu27,3095.50335549,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-eu27,eu27,3151.795757334,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-eu27,eu27,3158.350350425,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-eu27,eu27,3229.106490498,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-eu27,eu27,3173.837904551,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-eu27,eu27,3064.109792637,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-eu27,eu27,2685.357821379,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-eu27,eu27,2861.404906098,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-eu27,eu27,2839.410197443,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-eu27,eu27,2648.078776536,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-eu27,eu27,2567.724066943,https://www.eia.gov/international/data/world
