date,indicator_id,region,value,source_url
1949-01-01,eia-co2-oecd,oecd,2206.690829,https://www.eia.gov/international/data/world
1950-01-01,eia-co2-oecd,oecd,2382.046176,https://www.eia.gov/international/data/world
1951-01-01,eia-co2-oecd,oecd,2526.687327,https://www.eia.gov/international/data/world
1952-01-01,eia-co2-oecd,oecd,2473.373964,https://www.eia.gov/international/data/world
1953-01-01,eia-co2-oecd,oecd,2536.892888,https://www.eia.gov/international/data/world
1954-01-01,eia-co2-oecd,oecd,2422.25256,https://www.eia.gov/international/data/world
1955-01-01,eia-co2-oecd,oecd,2684.786146,https://www.eia.gov/international/data/world
1956-01-01,eia-co2-oecd,oecd,2777.042758,https://www.eia.gov/international/data/world
1957-01-01,eia-co2-oecd,oecd,2756.562392,https://www.eia.gov/international/data/world
1958-01-01,eia-co2-oecd,oecd,2703.188545,https://www.eia.gov/international/data/world
1959-01-01,eia-co2-oecd,oecd,2807.171174,https://www.eia.gov/international/data/world
1960-01-01,eia-co2-oecd,oecd,2914.008533,https://www.eia.gov/international/data/world
1961-01-01,eia-co2-oecd,oecd,2942.790633,https://www.eia.gov/international/data/world
1962-01-01,eia-co2-oecd,oecd,3064.923181,https://www.eia.gov/international/data/world
1963-01-01,eia-co2-oecd,oecd,3184.516899,https://www.eia.gov/international/data/world
1964-01-01,eia-co2-oecd,oecd,3316.753148,https://www.eia.gov/international/data/world
1965-01-01,eia-co2-oecd,oecd,3461.741169,https://www.eia.gov/international/data/world
1966-01-01,eia-co2-oecd,oecd,3654.178703,https://www.eia.gov/international/data/world
1967-01-01,eia-co2-oecd,oecd,3749.381715,https://www.eia.gov/international/data/world
1968-01-01,eia-co2-oecd,oecd,3964.523069,https://www.eia.gov/international/data/world
1969-01-01,eia-co2-oecd,oecd,4134.686706,https://www.eia.gov/international/data/world
1970-01-01,eia-co2-oecd,oecd,4261.307787,https://www.eia.gov/international/data/world
1971-01-01,eia-co2-oecd,oecd,4311.927159,https://www.eia.gov/international/data/world
1972-01-01,eia-co2-oecd,oecd,4532.007774,https://www.eia.gov/international/data/world
1973-01-01,eia-co2-oecd,oecd,4721.984594,https://www.eia.gov/international/data/world
1974-01-01,eia-co2-oecd,oecd,4561.227063,https://www.eia.gov/international/data/world
1975-01-01,eia-co2-oecd,oecd,4426.421477,https://www.eia.gov/international/data/world
1976-01-01,eia-co2-oecd,oecd,4694.157203,https://www.eia.gov/international/data/world
1977-01-01,eia-co2-oecd,oecd,4835.524743,https://www.eia.gov/international/data/world
1978-01-01,eia-co2-oecd,oecd,4883.910187,https://www.eia.gov/international/data/world
1979-01-01,eia-co2-oecd,oecd,4946.62713,https://www.eia.gov/international/data/world
1980-01-01,eia-co2-oecd,oecd,11153.648425716,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-oecd,oecd,10754.952549118,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-oecd,oecd,10436.074592995,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-oecd,oecd,10351.162966372,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-oecd,oecd,11046.147609548,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-oecd,oecd,11156.692856125,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-oecd,oecd,11255.695547211,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-oecd,oecd,11518.888577318,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-oecd,oecd,11842.032106279,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-oecd,oecd,12040.554232617,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-oecd,oecd,11959.295785976,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-oecd,oecd,11820.003495525,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-oecd,oecd,11941.293853413,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-oecd,oecd,12015.251256166,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-oecd,oecd,12198.860622971,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-oecd,oecd,12376.975660965,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-oecd,oecd,12792.311096902,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-oecd,oecd,12874.685770268,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-oecd,oecd,12903.645703789,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-oecd,oecd,13004.858806827,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-oecd,oecd,13331.836110288,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-oecd,oecd,13310.056244641,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-oecd,oecd,13369.094867948,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-oecd,oecd,13621.096253239,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-oecd,oecd,13806.543748922,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-oecd,oecd,13886.904057429,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-oecd,oecd,13864.725350883,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-oecd,oecd,13980.648353833,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-oecd,oecd,13655.990611104,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-oecd,oecd,12856.271895977,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-oecd,oecd,13286.895631619,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-oecd,oecd,13104.894625922,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-oecd,oecd,12958.042072246,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-oecd,oecd,13024.930655694,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-oecd,oecd,12865.06364535,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-oecd,oecd,12769.092534731,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-oecd,oecd,12694.64414332,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-oecd,oecd,12751.518653618,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-oecd,oecd,12824.939888678,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-oecd,oecd,12514.153206838,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-oecd,oecd,11207.864619937,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-oecd,oecd,11811.529503676,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-oecd,oecd,11844.433796764,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-oecd,oecd,11486.929401789,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-oecd,oecd,11388.923485954,https://www.eia.gov/international/data/world
