date,indicator_id,region,value,source_url
1980-01-01,eia-co2-per-capita-cn,cn,1.624039,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-per-capita-cn,cn,1.590816,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-per-capita-cn,cn,1.648699,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-per-capita-cn,cn,1.735363,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-per-capita-cn,cn,1.866236,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-per-capita-cn,cn,1.950318,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-per-capita-cn,cn,1.986361,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-per-capita-cn,cn,2.061461,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-per-capita-cn,cn,2.157065,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-per-capita-cn,cn,2.128052,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-per-capita-cn,cn,2.09542,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-per-capita-cn,cn,2.1015,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-per-capita-cn,cn,2.145143,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-per-capita-cn,cn,2.280891,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-per-capita-cn,cn,2.412228,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-per-capita-cn,cn,2.573752,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-per-capita-cn,cn,2.632464,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-per-capita-cn,cn,2.532807,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-per-capita-cn,cn,2.503977,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-per-capita-cn,cn,2.577632,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-per-capita-cn,cn,2.743195,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-per-capita-cn,cn,2.827284,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-per-capita-cn,cn,2.997447,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-per-capita-cn,cn,3.452516,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-per-capita-cn,cn,4.145504,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-per-capita-cn,cn,4.671719,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-per-capita-cn,cn,5.121692,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-per-capita-cn,cn,5.323197,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-per-capita-cn,cn,5.626775,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-per-capita-cn,cn,6.110984,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-per-capita-cn,cn,6.66167,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-per-capita-cn,cn,7.272572,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-per-capita-cn,cn,7.651552,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-per-capita-cn,cn,7.782408,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-per-capita-cn,cn,7.676256,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-per-capita-cn,cn,7.468543,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-per-capita-cn,cn,7.308554,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-per-capita-cn,cn,7.369331,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-per-capita-cn,cn,7.47132,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-per-capita-cn,cn,7.83666,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-per-capita-cn,cn,7.85759,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-per-capita-cn,cn,8.120609,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-per-capita-cn,cn,8.059443,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-per-capita-cn,cn,8.621844,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-per-capita-cn,cn,8.959174,https://www.eia.gov/international/data/world
