date,indicator_id,region,value,source_url
1980-01-01,eia-co2-per-gdp-eu27,eu27,466.730491,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-per-gdp-eu27,eu27,440.667894,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-per-gdp-eu27,eu27,439.753414,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-per-gdp-eu27,eu27,425.475513,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-per-gdp-eu27,eu27,432.452152,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-per-gdp-eu27,eu27,429.678821,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-per-gdp-eu27,eu27,426.021547,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-per-gdp-eu27,eu27,419.676397,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-per-gdp-eu27,eu27,395.964171,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-per-gdp-eu27,eu27,365.433277,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-per-gdp-eu27,eu27,343.440494,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-per-gdp-eu27,eu27,313.523043,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-per-gdp-eu27,eu27,309.687592,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-per-gdp-eu27,eu27,298.439891,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-per-gdp-eu27,eu27,287.788861,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-per-gdp-eu27,eu27,284.866965,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-per-gdp-eu27,eu27,285.795971,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-per-gdp-eu27,eu27,274.379098,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-per-gdp-eu27,eu27,266.371222,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-per-gdp-eu27,eu27,254.143056,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-per-gdp-eu27,eu27,246.090307,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-per-gdp-eu27,eu27,244.868452,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-per-gdp-eu27,eu27,241.350688,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-per-gdp-eu27,eu27,243.164888,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-per-gdp-eu27,eu27,238.41976,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-per-gdp-eu27,eu27,233.095361,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-per-gdp-eu27,eu27,225.508065,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-per-gdp-eu27,eu27,215.406702,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-per-gdp-eu27,eu27,210.717745,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-per-gdp-eu27,eu27,204.473345,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-per-gdp-eu27,eu27,205.316372,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-per-gdp-eu27,eu27,196.248438,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-per-gdp-eu27,eu27,193.413484,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-per-gdp-eu27,eu27,189.621196,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-per-gdp-eu27,eu27,178.389393,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-per-gdp-eu27,eu27,177.427876,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-per-gdp-eu27,eu27,174.345602,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-per-gdp-eu27,eu27,172.832115,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-per-gdp-eu27,eu27,166.139232,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-per-gdp-eu27,eu27,157.16562,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-per-gdp-eu27,eu27,146.056592,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-per-gdp-eu27,eu27,146.32408,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-per-gdp-eu27,eu27,139.841826,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-per-gdp-eu27,eu27,129.640951,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-per-gdp-eu27,eu27,123.995161,https://www.eia.gov/international/data/world
