date,indicator_id,region,value,source_url
1980-01-01,eia-co2-per-gdp-oecd,oecd,497.778978,https://www.eia.gov/international/data/world
1981-01-01,eia-co2-per-gdp-oecd,oecd,468.982087,https://www.eia.gov/international/data/world
1982-01-01,eia-co2-per-gdp-oecd,oecd,454.407856,https://www.eia.gov/international/data/world
1983-01-01,eia-co2-per-gdp-oecd,oecd,438.871819,https://www.eia.gov/international/data/world
1984-01-01,eia-co2-per-gdp-oecd,oecd,447.367839,https://www.eia.gov/international/data/world
1985-01-01,eia-co2-per-gdp-oecd,oecd,435.876174,https://www.eia.gov/international/data/world
1986-01-01,eia-co2-per-gdp-oecd,oecd,427.452033,https://www.eia.gov/international/data/world
1987-01-01,eia-co2-per-gdp-oecd,oecd,422.251526,https://www.eia.gov/international/data/world
1988-01-01,eia-co2-per-gdp-oecd,oecd,408.071633,https://www.eia.gov/international/data/world
1989-01-01,eia-co2-per-gdp-oecd,oecd,393.310963,https://www.eia.gov/international/data/world
1990-01-01,eia-co2-per-gdp-oecd,oecd,378.378038,https://www.eia.gov/international/data/world
1991-01-01,eia-co2-per-gdp-oecd,oecd,366.965132,https://www.eia.gov/international/data/world
1992-01-01,eia-co2-per-gdp-oecd,oecd,363.102971,https://www.eia.gov/international/data/world
1993-01-01,eia-co2-per-gdp-oecd,oecd,357.250894,https://www.eia.gov/international/data/world
1994-01-01,eia-co2-per-gdp-oecd,oecd,351.821389,https://www.eia.gov/international/data/world
1995-01-01,eia-co2-per-gdp-oecd,oecd,347.563646,https://www.eia.gov/international/data/world
1996-01-01,eia-co2-per-gdp-oecd,oecd,348.944347,https://www.eia.gov/international/data/world
1997-01-01,eia-co2-per-gdp-oecd,oecd,338.364981,https://www.eia.gov/international/data/world
1998-01-01,eia-co2-per-gdp-oecd,oecd,329.756653,https://www.eia.gov/international/data/world
1999-01-01,eia-co2-per-gdp-oecd,oecd,321.934068,https://www.eia.gov/international/data/world
2000-01-01,eia-co2-per-gdp-oecd,oecd,316.612117,https://www.eia.gov/international/data/world
2001-01-01,eia-co2-per-gdp-oecd,oecd,311.81011,https://www.eia.gov/international/data/world
2002-01-01,eia-co2-per-gdp-oecd,oecd,308.26051,https://www.eia.gov/international/data/world
2003-01-01,eia-co2-per-gdp-oecd,oecd,307.770086,https://www.eia.gov/international/data/world
2004-01-01,eia-co2-per-gdp-oecd,oecd,302.174468,https://www.eia.gov/international/data/world
2005-01-01,eia-co2-per-gdp-oecd,oecd,295.224462,https://www.eia.gov/international/data/world
2006-01-01,eia-co2-per-gdp-oecd,oecd,285.41827,https://www.eia.gov/international/data/world
2007-01-01,eia-co2-per-gdp-oecd,oecd,280.03847,https://www.eia.gov/international/data/world
2008-01-01,eia-co2-per-gdp-oecd,oecd,272.421219,https://www.eia.gov/international/data/world
2009-01-01,eia-co2-per-gdp-oecd,oecd,265.711295,https://www.eia.gov/international/data/world
2010-01-01,eia-co2-per-gdp-oecd,oecd,266.442032,https://www.eia.gov/international/data/world
2011-01-01,eia-co2-per-gdp-oecd,oecd,257.423707,https://www.eia.gov/international/data/world
2012-01-01,eia-co2-per-gdp-oecd,oecd,251.055088,https://www.eia.gov/international/data/world
2013-01-01,eia-co2-per-gdp-oecd,oecd,248.206239,https://www.eia.gov/international/data/world
2014-01-01,eia-co2-per-gdp-oecd,oecd,239.736977,https://www.eia.gov/international/data/world
2015-01-01,eia-co2-per-gdp-oecd,oecd,231.968116,https://www.eia.gov/international/data/world
2016-01-01,eia-co2-per-gdp-oecd,oecd,226.394611,https://www.eia.gov/international/data/world
2017-01-01,eia-co2-per-gdp-oecd,oecd,221.236073,https://www.eia.gov/international/data/world
2018-01-01,eia-co2-per-gdp-oecd,oecd,217.275255,https://www.eia.gov/international/data/world
2019-01-01,eia-co2-per-gdp-oecd,oecd,208.251772,https://www.eia.gov/international/data/world
2020-01-01,eia-co2-per-gdp-oecd,oecd,194.459886,https://www.eia.gov/international/data/world
2021-01-01,eia-co2-per-gdp-oecd,oecd,192.689896,https://www.eia.gov/international/data/world
2022-01-01,eia-co2-per-gdp-oecd,oecd,187.015732,https://www.eia.gov/international/data/world
2023-01-01,eia-co2-per-gdp-oecd,oecd,178.164817,https://www.eia.gov/international/data/world
2024-01-01,eia-co2-per-gdp-oecd,oecd,173.513528,https://www.eia.gov/international/data/world
