date,indicator_id,region,value,source_url
2015-01-01,ember-co2-intensity-cn,cn,787.31,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-co2-intensity-cn,cn,787.58,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-co2-intensity-cn,cn,755.73,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-co2-intensity-cn,cn,745.83,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-co2-intensity-cn,cn,734.57,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-co2-intensity-cn,cn,691.67,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-co2-intensity-cn,cn,701.94,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-co2-intensity-cn,cn,714.72,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-co2-intensity-cn,cn,677.81,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-co2-intensity-cn,cn,681.24,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-co2-intensity-cn,cn,738.74,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-co2-intensity-cn,cn,764.67,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-co2-intensity-cn,cn,739.06,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-co2-intensity-cn,cn,739.05,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-co2-intensity-cn,cn,725.59,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-co2-intensity-cn,cn,699.83,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-co2-intensity-cn,cn,673.31,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-co2-intensity-cn,cn,671.33,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-co2-intensity-cn,cn,671.02,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-co2-intensity-cn,cn,698.67,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-co2-intensity-cn,cn,698.07,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-co2-intensity-cn,cn,690.07,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-co2-intensity-cn,cn,712.28,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-co2-intensity-cn,cn,751.7,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-co2-intensity-cn,cn,737.95,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-co2-intensity-cn,cn,738.24,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-co2-intensity-cn,cn,722.93,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-co2-intensity-cn,cn,695.29,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-co2-intensity-cn,cn,675.26,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-co2-intensity-cn,cn,672.32,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-co2-intensity-cn,cn,678.6,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-co2-intensity-cn,cn,687.23,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-co2-intensity-cn,cn,656.97,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-co2-intensity-cn,cn,652.75,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-co2-intensity-cn,cn,684.85,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-co2-intensity-cn,cn,732.91,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-co2-intensity-cn,cn,729.98,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-co2-intensity-cn,cn,729.21,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-co2-intensity-cn,cn,712.55,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-co2-intensity-cn,cn,690.86,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-co2-intensity-cn,cn,671.97,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-co2-intensity-cn,cn,664.37,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-co2-intensity-cn,cn,663.58,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-co2-intensity-cn,cn,673.94,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-co2-intensity-cn,cn,648.22,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-co2-intensity-cn,cn,637.07,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-co2-intensity-cn,cn,683.1,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-co2-intensity-cn,cn,721.27,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-co2-intensity-cn,cn,712.86,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-co2-intensity-cn,cn,712.75,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-co2-intensity-cn,cn,674.1,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-co2-intensity-cn,cn,658.91,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-co2-intensity-cn,cn,632.75,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-co2-intensity-cn,cn,643.33,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-co2-intensity-cn,cn,645.1,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-co2-intensity-cn,cn,657.16,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-co2-intensity-cn,cn,652.15,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-co2-intensity-cn,cn,644.45,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-co2-intensity-cn,cn,679.88,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-co2-intensity-cn,cn,719.06,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-co2-intensity-cn,cn,701.61,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-co2-intensity-cn,cn,702.55,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-co2-intensity-cn,cn,647.57,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-co2-intensity-cn,cn,657.72,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-co2-intensity-cn,cn,654.13,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-co2-intensity-cn,cn,631.86,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-co2-intensity-cn,cn,620.72,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-co2-intensity-cn,cn,644.79,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-co2-intensity-cn,cn,613.04,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-co2-intensity-cn,cn,602.44,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-co2-intensity-cn,cn,672.12,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-co2-intensity-cn,cn,711.01,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-co2-intensity-cn,cn,682.47,https://ember-energy.org/data/monthly-electricity-data/
2021-02-01,ember-co2-intensity-cn,cn,682.58,https://ember-energy.org/data/monthly-electricity-data/
2021-03-01,ember-co2-intensity-cn,cn,677.5,https://ember-energy.org/data/monthly-electricity-data/
2021-04-01,ember-co2-intensity-cn,cn,651.74,https://ember-energy.org/data/monthly-electricity-data/
2021-05-01,ember-co2-intensity-cn,cn,624.76,https://ember-energy.org/data/monthly-electricity-data/
2021-06-01,ember-co2-intensity-cn,cn,634.25,https://ember-energy.org/data/monthly-electricity-data/
2021-07-01,ember-co2-intensity-cn,cn,627.96,https://ember-energy.org/data/monthly-electricity-data/
2021-08-01,ember-co2-intensity-cn,cn,636.72,https://ember-energy.org/data/monthly-electricity-data/
2021-09-01,ember-co2-intensity-cn,cn,609.98,https://ember-energy.org/data/monthly-electricity-data/
2021-10-01,ember-co2-intensity-cn,cn,605.48,https://ember-energy.org/data/monthly-electricity-data/
2021-11-01,ember-co2-intensity-cn,cn,642.98,https://ember-energy.org/data/monthly-electricity-data/
2021-12-01,ember-co2-intensity-cn,cn,681.27,https://ember-energy.org/data/monthly-electricity-data/
2022-01-01,ember-co2-intensity-cn,cn,681.07,https://ember-energy.org/data/monthly-electricity-data/
2022-02-01,ember-co2-intensity-cn,cn,681.68,https://ember-energy.org/data/monthly-electricity-data/
2022-03-01,ember-co2-intensity-cn,cn,630.64,https://ember-energy.org/data/monthly-electricity-data/
2022-04-01,ember-co2-intensity-cn,cn,588.23,https://ember-energy.org/data/monthly-electricity-data/
2022-05-01,ember-co2-intensity-cn,cn,565.08,https://ember-energy.org/data/monthly-electricity-data/
2022-06-01,ember-co2-intensity-cn,cn,578.44,https://ember-energy.org/data/monthly-electricity-data/
2022-07-01,ember-co2-intensity-cn,cn,623.69,https://ember-energy.org/data/monthly-electricity-data/
2022-08-01,ember-co2-intensity-cn,cn,655.56,https://ember-energy.org/data/monthly-electricity-data/
2022-09-01,ember-co2-intensity-cn,cn,636.46,https://ember-energy.org/data/monthly-electricity-data/
2022-10-01,ember-co2-intensity-cn,cn,605.22,https://ember-energy.org/data/monthly-electricity-data/
2022-11-01,ember-co2-intensity-cn,cn,642.22,https://ember-energy.org/data/monthly-electricity-data/
2022-12-01,ember-co2-intensity-cn,cn,660.89,https://ember-energy.org/data/monthly-electricity-data/
2023-01-01,ember-co2-intensity-cn,cn,649.67,https://ember-energy.org/data/monthly-electricity-data/
2023-02-01,ember-co2-intensity-cn,cn,650.57,https://ember-energy.org/data/monthly-electricity-data/
2023-03-01,ember-co2-intensity-cn,cn,643.02,https://ember-energy.org/data/monthly-electricity-data/
2023-04-01,ember-co2-intensity-cn,cn,607.59,https://ember-energy.org/data/monthly-electricity-data/
2023-05-01,ember-co2-intensity-cn,cn,607.3,https://ember-energy.org/data/monthly-electricity-data/
2023-06-01,ember-co2-intensity-cn,cn,628.71,https://ember-energy.org/data/monthly-electricity-data/
2023-07-01,ember-co2-intensity-cn,cn,633.63,https://ember-energy.org/data/monthly-electricity-data/
2023-08-01,ember-co2-intensity-cn,cn,623.73,https://ember-energy.org/data/monthly-electricity-data/
2023-09-01,ember-co2-intensity-cn,cn,595.95,https://ember-energy.org/data/monthly-electricity-data/
2023-10-01,ember-co2-intensity-cn,cn,586.03,https://ember-energy.org/data/monthly-electricity-data/
2023-11-01,ember-co2-intensity-cn,cn,612.67,https://ember-energy.org/data/monthly-electricity-data/
2023-12-01,ember-co2-intensity-cn,cn,655.38,https://ember-energy.org/data/monthly-electricity-data/
2024-01-01,ember-co2-intensity-cn,cn,643.95,https://ember-energy.org/data/monthly-electricity-data/
2024-02-01,ember-co2-intensity-cn,cn,645.75,https://ember-energy.org/data/monthly-electricity-data/
2024-03-01,ember-co2-intensity-cn,cn,611.61,https://ember-energy.org/data/monthly-electricity-data/
2024-04-01,ember-co2-intensity-cn,cn,580.06,https://ember-energy.org/data/monthly-electricity-data/
2024-05-01,ember-co2-intensity-cn,cn,549.86,https://ember-energy.org/data/monthly-electricity-data/
2024-06-01,ember-co2-intensity-cn,cn,553.84,https://ember-energy.org/data/monthly-electricity-data/
2024-07-01,ember-co2-intensity-cn,cn,571.67,https://ember-energy.org/data/monthly-electricity-data/
2024-08-01,ember-co2-intensity-cn,cn,593.95,https://ember-energy.org/data/monthly-electricity-data/
2024-09-01,ember-co2-intensity-cn,cn,596.26,https://ember-energy.org/data/monthly-electricity-data/
2024-10-01,ember-co2-intensity-cn,cn,571.05,https://ember-energy.org/data/monthly-electricity-data/
2024-11-01,ember-co2-intensity-cn,cn,606.73,https://ember-energy.org/data/monthly-electricity-data/
2024-12-01,ember-co2-intensity-cn,cn,622.85,https://ember-energy.org/data/monthly-electricity-data/
2025-01-01,ember-co2-intensity-cn,cn,599.44,https://ember-energy.org/data/monthly-electricity-data/
2025-02-01,ember-co2-intensity-cn,cn,601.06,https://ember-energy.org/data/monthly-electricity-data/
2025-03-01,ember-co2-intensity-cn,cn,571.19,https://ember-energy.org/data/monthly-electricity-data/
