date,indicator_id,region,value,source_url
2018-04-01,ember-co2-intensity-jp,jp,487.301,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-co2-intensity-jp,jp,476.768,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-co2-intensity-jp,jp,507.868,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-co2-intensity-jp,jp,517.622,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-co2-intensity-jp,jp,530.545,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-co2-intensity-jp,jp,511.809,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-co2-intensity-jp,jp,502.701,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-co2-intensity-jp,jp,523.113,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-co2-intensity-jp,jp,533.907,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-co2-intensity-jp,jp,534.796,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-co2-intensity-jp,jp,531.604,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-co2-intensity-jp,jp,503.986,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-co2-intensity-jp,jp,480.812,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-co2-intensity-jp,jp,458.882,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-co2-intensity-jp,jp,483.0,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-co2-intensity-jp,jp,503.145,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-co2-intensity-jp,jp,514.115,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-co2-intensity-jp,jp,510.619,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-co2-intensity-jp,jp,505.071,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-co2-intensity-jp,jp,517.146,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-co2-intensity-jp,jp,536.565,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-co2-intensity-jp,jp,536.374,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-co2-intensity-jp,jp,522.505,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-co2-intensity-jp,jp,497.232,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-co2-intensity-jp,jp,463.595,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-co2-intensity-jp,jp,441.437,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-co2-intensity-jp,jp,476.865,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-co2-intensity-jp,jp,491.314,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-co2-intensity-jp,jp,508.05,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-co2-intensity-jp,jp,519.323,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-co2-intensity-jp,jp,526.694,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-co2-intensity-jp,jp,546.649,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-co2-intensity-jp,jp,554.687,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-co2-intensity-jp,jp,562.988,https://ember-energy.org/data/monthly-electricity-data/
2021-02-01,ember-co2-intensity-jp,jp,530.935,https://ember-energy.org/data/monthly-electricity-data/
2021-03-01,ember-co2-intensity-jp,jp,490.437,https://ember-energy.org/data/monthly-electricity-data/
2021-04-01,ember-co2-intensity-jp,jp,447.492,https://ember-energy.org/data/monthly-electricity-data/
2021-05-01,ember-co2-intensity-jp,jp,430.043,https://ember-energy.org/data/monthly-electricity-data/
2021-06-01,ember-co2-intensity-jp,jp,459.018,https://ember-energy.org/data/monthly-electricity-data/
2021-07-01,ember-co2-intensity-jp,jp,476.899,https://ember-energy.org/data/monthly-electricity-data/
2021-08-01,ember-co2-intensity-jp,jp,483.343,https://ember-energy.org/data/monthly-electricity-data/
2021-09-01,ember-co2-intensity-jp,jp,480.076,https://ember-energy.org/data/monthly-electricity-data/
2021-10-01,ember-co2-intensity-jp,jp,497.213,https://ember-energy.org/data/monthly-electricity-data/
2021-11-01,ember-co2-intensity-jp,jp,516.02,https://ember-energy.org/data/monthly-electricity-data/
2021-12-01,ember-co2-intensity-jp,jp,519.128,https://ember-energy.org/data/monthly-electricity-data/
2022-01-01,ember-co2-intensity-jp,jp,528.571,https://ember-energy.org/data/monthly-electricity-data/
2022-02-01,ember-co2-intensity-jp,jp,532.103,https://ember-energy.org/data/monthly-electricity-data/
2022-03-01,ember-co2-intensity-jp,jp,503.967,https://ember-energy.org/data/monthly-electricity-data/
2022-04-01,ember-co2-intensity-jp,jp,452.312,https://ember-energy.org/data/monthly-electricity-data/
2022-05-01,ember-co2-intensity-jp,jp,436.896,https://ember-energy.org/data/monthly-electricity-data/
2022-06-01,ember-co2-intensity-jp,jp,474.468,https://ember-energy.org/data/monthly-electricity-data/
2022-07-01,ember-co2-intensity-jp,jp,500.566,https://ember-energy.org/data/monthly-electricity-data/
2022-08-01,ember-co2-intensity-jp,jp,498.065,https://ember-energy.org/data/monthly-electricity-data/
2022-09-01,ember-co2-intensity-jp,jp,493.252,https://ember-energy.org/data/monthly-electricity-data/
2022-10-01,ember-co2-intensity-jp,jp,496.667,https://ember-energy.org/data/monthly-electricity-data/
2022-11-01,ember-co2-intensity-jp,jp,514.562,https://ember-energy.org/data/monthly-electricity-data/
2022-12-01,ember-co2-intensity-jp,jp,524.523,https://ember-energy.org/data/monthly-electricity-data/
2023-01-01,ember-co2-intensity-jp,jp,520.625,https://ember-energy.org/data/monthly-electricity-data/
2023-02-01,ember-co2-intensity-jp,jp,512.532,https://ember-energy.org/data/monthly-electricity-data/
2023-03-01,ember-co2-intensity-jp,jp,456.037,https://ember-energy.org/data/monthly-electricity-data/
2023-04-01,ember-co2-intensity-jp,jp,406.673,https://ember-energy.org/data/monthly-electricity-data/
2023-05-01,ember-co2-intensity-jp,jp,391.565,https://ember-energy.org/data/monthly-electricity-data/
