date,indicator_id,region,value,source_url
2001-01-01,ember-co2-intensity-us,us,623.483,https://ember-energy.org/data/monthly-electricity-data/
2001-02-01,ember-co2-intensity-us,us,611.121,https://ember-energy.org/data/monthly-electricity-data/
2001-03-01,ember-co2-intensity-us,us,608.049,https://ember-energy.org/data/monthly-electricity-data/
2001-04-01,ember-co2-intensity-us,us,607.725,https://ember-energy.org/data/monthly-electricity-data/
2001-05-01,ember-co2-intensity-us,us,605.541,https://ember-energy.org/data/monthly-electricity-data/
2001-06-01,ember-co2-intensity-us,us,601.505,https://ember-energy.org/data/monthly-electricity-data/
2001-07-01,ember-co2-intensity-us,us,616.909,https://ember-energy.org/data/monthly-electricity-data/
2001-08-01,ember-co2-intensity-us,us,619.838,https://ember-energy.org/data/monthly-electricity-data/
2001-09-01,ember-co2-intensity-us,us,609.742,https://ember-energy.org/data/monthly-electricity-data/
2001-10-01,ember-co2-intensity-us,us,609.203,https://ember-energy.org/data/monthly-electricity-data/
2001-11-01,ember-co2-intensity-us,us,602.664,https://ember-energy.org/data/monthly-electricity-data/
2001-12-01,ember-co2-intensity-us,us,599.106,https://ember-energy.org/data/monthly-electricity-data/
2002-01-01,ember-co2-intensity-us,us,595.133,https://ember-energy.org/data/monthly-electricity-data/
2002-02-01,ember-co2-intensity-us,us,592.056,https://ember-energy.org/data/monthly-electricity-data/
2002-03-01,ember-co2-intensity-us,us,596.949,https://ember-energy.org/data/monthly-electricity-data/
2002-04-01,ember-co2-intensity-us,us,588.477,https://ember-energy.org/data/monthly-electricity-data/
2002-05-01,ember-co2-intensity-us,us,585.539,https://ember-energy.org/data/monthly-electricity-data/
2002-06-01,ember-co2-intensity-us,us,589.639,https://ember-energy.org/data/monthly-electricity-data/
2002-07-01,ember-co2-intensity-us,us,603.701,https://ember-energy.org/data/monthly-electricity-data/
2002-08-01,ember-co2-intensity-us,us,606.501,https://ember-energy.org/data/monthly-electricity-data/
2002-09-01,ember-co2-intensity-us,us,613.087,https://ember-energy.org/data/monthly-electricity-data/
2002-10-01,ember-co2-intensity-us,us,617.164,https://ember-energy.org/data/monthly-electricity-data/
2002-11-01,ember-co2-intensity-us,us,608.859,https://ember-energy.org/data/monthly-electricity-data/
2002-12-01,ember-co2-intensity-us,us,608.641,https://ember-energy.org/data/monthly-electricity-data/
2003-01-01,ember-co2-intensity-us,us,619.752,https://ember-energy.org/data/monthly-electricity-data/
2003-02-01,ember-co2-intensity-us,us,613.181,https://ember-energy.org/data/monthly-electricity-data/
2003-03-01,ember-co2-intensity-us,us,602.312,https://ember-energy.org/data/monthly-electricity-data/
2003-04-01,ember-co2-intensity-us,us,590.957,https://ember-energy.org/data/monthly-electricity-data/
2003-05-01,ember-co2-intensity-us,us,581.363,https://ember-energy.org/data/monthly-electricity-data/
2003-06-01,ember-co2-intensity-us,us,593.146,https://ember-energy.org/data/monthly-electricity-data/
2003-07-01,ember-co2-intensity-us,us,605.833,https://ember-energy.org/data/monthly-electricity-data/
2003-08-01,ember-co2-intensity-us,us,612.237,https://ember-energy.org/data/monthly-electricity-data/
2003-09-01,ember-co2-intensity-us,us,613.876,https://ember-energy.org/data/monthly-electricity-data/
2003-10-01,ember-co2-intensity-us,us,616.398,https://ember-energy.org/data/monthly-electricity-data/
2003-11-01,ember-co2-intensity-us,us,614.754,https://ember-energy.org/data/monthly-electricity-data/
2003-12-01,ember-co2-intensity-us,us,609.078,https://ember-energy.org/data/monthly-electricity-data/
2004-01-01,ember-co2-intensity-us,us,612.329,https://ember-energy.org/data/monthly-electricity-data/
2004-02-01,ember-co2-intensity-us,us,606.648,https://ember-energy.org/data/monthly-electricity-data/
2004-03-01,ember-co2-intensity-us,us,595.658,https://ember-energy.org/data/monthly-electricity-data/
2004-04-01,ember-co2-intensity-us,us,592.932,https://ember-energy.org/data/monthly-electricity-data/
2004-05-01,ember-co2-intensity-us,us,591.103,https://ember-energy.org/data/monthly-electricity-data/
2004-06-01,ember-co2-intensity-us,us,595.782,https://ember-energy.org/data/monthly-electricity-data/
2004-07-01,ember-co2-intensity-us,us,603.195,https://ember-energy.org/data/monthly-electricity-data/
2004-08-01,ember-co2-intensity-us,us,604.691,https://ember-energy.org/data/monthly-electricity-data/
