date,indicator_id,region,value,source_url
2015-01-01,ember-demand-cn,cn,431.88,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-demand-cn,cn,431.21,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-demand-cn,cn,456.68,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-demand-cn,cn,449.57,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-demand-cn,cn,461.04,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-demand-cn,cn,477.86,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-demand-cn,cn,509.77,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-demand-cn,cn,517.15,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-demand-cn,cn,457.14,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-demand-cn,cn,448.73,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-demand-cn,cn,467.68,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-demand-cn,cn,496.5,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-demand-cn,cn,480.508,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-demand-cn,cn,397.24,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-demand-cn,cn,483.74,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-demand-cn,cn,453.766,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-demand-cn,cn,473.513,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-demand-cn,cn,497.012,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-demand-cn,cn,558.808,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-demand-cn,cn,569.645,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-demand-cn,cn,497.574,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-demand-cn,cn,494.745,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-demand-cn,cn,511.17,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-demand-cn,cn,540.666,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-demand-cn,cn,519.028,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-demand-cn,cn,427.605,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-demand-cn,cn,520.326,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-demand-cn,cn,482.199,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-demand-cn,cn,500.848,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-demand-cn,cn,524.478,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-demand-cn,cn,609.895,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-demand-cn,cn,601.824,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-demand-cn,cn,529.591,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-demand-cn,cn,514.858,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-demand-cn,cn,542.236,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-demand-cn,cn,589.455,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-demand-cn,cn,589.951,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-demand-cn,cn,483.353,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-demand-cn,cn,545.474,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-demand-cn,cn,533.403,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-demand-cn,cn,567.344,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-demand-cn,cn,577.294,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-demand-cn,cn,662.333,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-demand-cn,cn,665.362,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-demand-cn,cn,572.68,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-demand-cn,cn,558.29,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-demand-cn,cn,573.852,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-demand-cn,cn,639.711,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-demand-cn,cn,619.755,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-demand-cn,cn,510.283,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-demand-cn,cn,587.651,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-demand-cn,cn,562.916,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-demand-cn,cn,579.12,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-demand-cn,cn,601.27,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-demand-cn,cn,677.534,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-demand-cn,cn,687.821,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-demand-cn,cn,609.554,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-demand-cn,cn,592.945,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-demand-cn,cn,610.684,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-demand-cn,cn,675.865,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-demand-cn,cn,619.604,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-demand-cn,cn,434.708,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-demand-cn,cn,568.821,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-demand-cn,cn,571.225,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-demand-cn,cn,610.188,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-demand-cn,cn,648.345,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-demand-cn,cn,702.623,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-demand-cn,cn,748.713,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-demand-cn,cn,655.072,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-demand-cn,cn,631.732,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-demand-cn,cn,662.933,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-demand-cn,cn,750.105,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-demand-cn,cn,744.039,https://ember-energy.org/data/monthly-electricity-data/
2021-02-01,ember-demand-cn,cn,545.31,https://ember-energy.org/data/monthly-electricity-data/
2021-03-01,ember-demand-cn,cn,683.241,https://ember-energy.org/data/monthly-electricity-data/
2021-04-01,ember-demand-cn,cn,649.706,https://ember-energy.org/data/monthly-electricity-data/
2021-05-01,ember-demand-cn,cn,679.09,https://ember-energy.org/data/monthly-electricity-data/
2021-06-01,ember-demand-cn,cn,712.08,https://ember-energy.org/data/monthly-electricity-data/
2021-07-01,ember-demand-cn,cn,785.038,https://ember-energy.org/data/monthly-electricity-data/
2021-08-01,ember-demand-cn,cn,764.855,https://ember-energy.org/data/monthly-electricity-data/
2021-09-01,ember-demand-cn,cn,699.021,https://ember-energy.org/data/monthly-electricity-data/
2021-10-01,ember-demand-cn,cn,665.842,https://ember-energy.org/data/monthly-electricity-data/
2021-11-01,ember-demand-cn,cn,680.264,https://ember-energy.org/data/monthly-electricity-data/
