date,indicator_id,region,value,source_url
2015-01-01,ember-generation-gb,gb,28.57,https://ember-energy.org/data/monthly-electricity-data/
2015-01-02,ember-generation-gb,gb,25.79,https://ember-energy.org/data/monthly-electricity-data/
2015-01-03,ember-generation-gb,gb,26.64,https://ember-energy.org/data/monthly-electricity-data/
2015-01-04,ember-generation-gb,gb,22.83,https://ember-energy.org/data/monthly-electricity-data/
2015-01-05,ember-generation-gb,gb,22.5,https://ember-energy.org/data/monthly-electricity-data/
2015-01-06,ember-generation-gb,gb,21.3,https://ember-energy.org/data/monthly-electricity-data/
2015-01-07,ember-generation-gb,gb,21.45,https://ember-energy.org/data/monthly-electricity-data/
2015-01-08,ember-generation-gb,gb,21.03,https://ember-energy.org/data/monthly-electricity-data/
2015-01-09,ember-generation-gb,gb,21.53,https://ember-energy.org/data/monthly-electricity-data/
2015-01-10,ember-generation-gb,gb,24.45,https://ember-energy.org/data/monthly-electricity-data/
2015-01-11,ember-generation-gb,gb,25.29,https://ember-energy.org/data/monthly-electricity-data/
2015-01-12,ember-generation-gb,gb,25.4,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-generation-gb,gb,25.79,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-generation-gb,gb,26.64,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-generation-gb,gb,22.83,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-generation-gb,gb,22.5,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-generation-gb,gb,21.3,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-generation-gb,gb,21.45,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-generation-gb,gb,21.03,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-generation-gb,gb,21.53,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-generation-gb,gb,24.45,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-generation-gb,gb,25.29,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-generation-gb,gb,25.4,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-generation-gb,gb,27.11,https://ember-energy.org/data/monthly-electricity-data/
2016-01-02,ember-generation-gb,gb,25.12,https://ember-energy.org/data/monthly-electricity-data/
2016-01-03,ember-generation-gb,gb,25.62,https://ember-energy.org/data/monthly-electricity-data/
2016-01-04,ember-generation-gb,gb,22.91,https://ember-energy.org/data/monthly-electricity-data/
2016-01-05,ember-generation-gb,gb,21.39,https://ember-energy.org/data/monthly-electricity-data/
2016-01-06,ember-generation-gb,gb,20.59,https://ember-energy.org/data/monthly-electricity-data/
2016-01-07,ember-generation-gb,gb,20.87,https://ember-energy.org/data/monthly-electricity-data/
2016-01-08,ember-generation-gb,gb,20.65,https://ember-energy.org/data/monthly-electricity-data/
2016-01-09,ember-generation-gb,gb,21.77,https://ember-energy.org/data/monthly-electricity-data/
2016-01-10,ember-generation-gb,gb,24.5,https://ember-energy.org/data/monthly-electricity-data/
2016-01-11,ember-generation-gb,gb,26.75,https://ember-energy.org/data/monthly-electricity-data/
2016-01-12,ember-generation-gb,gb,27.37,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-generation-gb,gb,25.12,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-generation-gb,gb,25.62,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-generation-gb,gb,22.91,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-generation-gb,gb,21.39,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-generation-gb,gb,20.59,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-generation-gb,gb,20.87,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-generation-gb,gb,20.65,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-generation-gb,gb,21.77,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-generation-gb,gb,24.5,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-generation-gb,gb,26.75,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-generation-gb,gb,27.37,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-generation-gb,gb,29.6,https://ember-energy.org/data/monthly-electricity-data/
2017-01-02,ember-generation-gb,gb,24.86,https://ember-energy.org/data/monthly-electricity-data/
2017-01-03,ember-generation-gb,gb,24.71,https://ember-energy.org/data/monthly-electricity-data/
2017-01-04,ember-generation-gb,gb,21.23,https://ember-energy.org/data/monthly-electricity-data/
2017-01-05,ember-generation-gb,gb,21.55,https://ember-energy.org/data/monthly-electricity-data/
2017-01-06,ember-generation-gb,gb,20.38,https://ember-energy.org/data/monthly-electricity-data/
2017-01-07,ember-generation-gb,gb,20.29,https://ember-energy.org/data/monthly-electricity-data/
2017-01-08,ember-generation-gb,gb,20.11,https://ember-energy.org/data/monthly-electricity-data/
