date,indicator_id,region,value,source_url
2015-01-01,ember-share-bioenergy-cn,cn,1.0,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-bioenergy-cn,cn,1.0,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-bioenergy-cn,cn,0.96,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-bioenergy-cn,cn,0.94,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-bioenergy-cn,cn,0.93,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-bioenergy-cn,cn,0.87,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-bioenergy-cn,cn,0.89,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-bioenergy-cn,cn,0.9,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-bioenergy-cn,cn,0.86,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-bioenergy-cn,cn,0.86,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-bioenergy-cn,cn,0.94,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-bioenergy-cn,cn,0.97,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-bioenergy-cn,cn,0.758,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-bioenergy-cn,cn,0.923,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-bioenergy-cn,cn,0.769,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-bioenergy-cn,cn,0.835,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-bioenergy-cn,cn,0.808,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-bioenergy-cn,cn,0.767,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-bioenergy-cn,cn,0.671,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-bioenergy-cn,cn,0.667,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-bioenergy-cn,cn,0.795,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-bioenergy-cn,cn,0.855,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-bioenergy-cn,cn,0.857,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-bioenergy-cn,cn,0.816,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-bioenergy-cn,cn,0.83,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-bioenergy-cn,cn,1.006,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-bioenergy-cn,cn,0.845,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-bioenergy-cn,cn,0.951,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-bioenergy-cn,cn,0.935,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-bioenergy-cn,cn,0.894,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-bioenergy-cn,cn,0.756,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-bioenergy-cn,cn,0.777,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-bioenergy-cn,cn,0.921,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-bioenergy-cn,cn,1.016,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-bioenergy-cn,cn,0.985,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-bioenergy-cn,cn,0.883,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-bioenergy-cn,cn,0.815,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-share-bioenergy-cn,cn,0.977,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-share-bioenergy-cn,cn,0.907,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-share-bioenergy-cn,cn,1.029,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-bioenergy-cn,cn,1.011,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-bioenergy-cn,cn,0.99,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-share-bioenergy-cn,cn,0.818,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-share-bioenergy-cn,cn,0.801,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-share-bioenergy-cn,cn,0.955,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-share-bioenergy-cn,cn,1.042,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-share-bioenergy-cn,cn,1.038,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-share-bioenergy-cn,cn,0.92,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-share-bioenergy-cn,cn,0.905,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-share-bioenergy-cn,cn,1.094,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-share-bioenergy-cn,cn,0.999,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-share-bioenergy-cn,cn,1.143,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-share-bioenergy-cn,cn,1.154,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-share-bioenergy-cn,cn,1.106,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-share-bioenergy-cn,cn,0.934,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-share-bioenergy-cn,cn,0.914,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-share-bioenergy-cn,cn,1.072,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-share-bioenergy-cn,cn,1.192,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-share-bioenergy-cn,cn,1.187,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-share-bioenergy-cn,cn,1.045,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-share-bioenergy-cn,cn,1.051,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-share-bioenergy-cn,cn,1.466,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-share-bioenergy-cn,cn,1.169,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-share-bioenergy-cn,cn,1.288,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-share-bioenergy-cn,cn,1.267,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-share-bioenergy-cn,cn,1.202,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-share-bioenergy-cn,cn,1.073,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-share-bioenergy-cn,cn,1.005,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-share-bioenergy-cn,cn,1.184,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-share-bioenergy-cn,cn,1.303,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-share-bioenergy-cn,cn,1.275,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-share-bioenergy-cn,cn,1.034,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-share-bioenergy-cn,cn,1.085,https://ember-energy.org/data/monthly-electricity-data/
