date,indicator_id,region,value,source_url
2001-01-01,ember-share-bioenergy-us,us,1.326,https://ember-energy.org/data/monthly-electricity-data/
2001-02-01,ember-share-bioenergy-us,us,1.344,https://ember-energy.org/data/monthly-electricity-data/
2001-03-01,ember-share-bioenergy-us,us,1.347,https://ember-energy.org/data/monthly-electricity-data/
2001-04-01,ember-share-bioenergy-us,us,1.444,https://ember-energy.org/data/monthly-electricity-data/
2001-05-01,ember-share-bioenergy-us,us,1.318,https://ember-energy.org/data/monthly-electricity-data/
2001-06-01,ember-share-bioenergy-us,us,1.259,https://ember-energy.org/data/monthly-electricity-data/
2001-07-01,ember-share-bioenergy-us,us,1.217,https://ember-energy.org/data/monthly-electricity-data/
2001-08-01,ember-share-bioenergy-us,us,1.208,https://ember-energy.org/data/monthly-electricity-data/
2001-09-01,ember-share-bioenergy-us,us,1.332,https://ember-energy.org/data/monthly-electricity-data/
2001-10-01,ember-share-bioenergy-us,us,1.45,https://ember-energy.org/data/monthly-electricity-data/
2001-11-01,ember-share-bioenergy-us,us,1.463,https://ember-energy.org/data/monthly-electricity-data/
2001-12-01,ember-share-bioenergy-us,us,1.388,https://ember-energy.org/data/monthly-electricity-data/
2002-01-01,ember-share-bioenergy-us,us,1.408,https://ember-energy.org/data/monthly-electricity-data/
2002-02-01,ember-share-bioenergy-us,us,1.4,https://ember-energy.org/data/monthly-electricity-data/
2002-03-01,ember-share-bioenergy-us,us,1.398,https://ember-energy.org/data/monthly-electricity-data/
2002-04-01,ember-share-bioenergy-us,us,1.51,https://ember-energy.org/data/monthly-electricity-data/
2002-05-01,ember-share-bioenergy-us,us,1.439,https://ember-energy.org/data/monthly-electricity-data/
2002-06-01,ember-share-bioenergy-us,us,1.382,https://ember-energy.org/data/monthly-electricity-data/
2002-07-01,ember-share-bioenergy-us,us,1.267,https://ember-energy.org/data/monthly-electricity-data/
2002-08-01,ember-share-bioenergy-us,us,1.277,https://ember-energy.org/data/monthly-electricity-data/
2002-09-01,ember-share-bioenergy-us,us,1.393,https://ember-energy.org/data/monthly-electricity-data/
2002-10-01,ember-share-bioenergy-us,us,1.49,https://ember-energy.org/data/monthly-electricity-data/
2002-11-01,ember-share-bioenergy-us,us,1.482,https://ember-energy.org/data/monthly-electricity-data/
2002-12-01,ember-share-bioenergy-us,us,1.39,https://ember-energy.org/data/monthly-electricity-data/
2003-01-01,ember-share-bioenergy-us,us,1.348,https://ember-energy.org/data/monthly-electricity-data/
2003-02-01,ember-share-bioenergy-us,us,1.363,https://ember-energy.org/data/monthly-electricity-data/
2003-03-01,ember-share-bioenergy-us,us,1.456,https://ember-energy.org/data/monthly-electricity-data/
2003-04-01,ember-share-bioenergy-us,us,1.529,https://ember-energy.org/data/monthly-electricity-data/
2003-05-01,ember-share-bioenergy-us,us,1.38,https://ember-energy.org/data/monthly-electricity-data/
2003-06-01,ember-share-bioenergy-us,us,1.319,https://ember-energy.org/data/monthly-electricity-data/
