date,indicator_id,region,value,source_url
2015-01-01,ember-share-gas-cn,cn,2.81,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-gas-cn,cn,2.81,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-gas-cn,cn,2.69,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-gas-cn,cn,2.66,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-gas-cn,cn,2.62,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-gas-cn,cn,2.46,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-gas-cn,cn,2.5,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-gas-cn,cn,2.54,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-gas-cn,cn,2.41,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-gas-cn,cn,2.42,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-gas-cn,cn,2.63,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-gas-cn,cn,2.73,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-gas-cn,cn,3.332,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-gas-cn,cn,3.016,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-gas-cn,cn,2.965,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-gas-cn,cn,2.913,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-gas-cn,cn,2.855,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-gas-cn,cn,2.989,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-gas-cn,cn,3.483,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-gas-cn,cn,3.683,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-gas-cn,cn,3.114,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-gas-cn,cn,2.728,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-gas-cn,cn,2.86,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-gas-cn,cn,3.475,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-gas-cn,cn,3.283,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-gas-cn,cn,2.98,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-gas-cn,cn,2.933,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-gas-cn,cn,2.923,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-gas-cn,cn,2.872,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-gas-cn,cn,3.012,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-gas-cn,cn,3.397,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-gas-cn,cn,3.712,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-gas-cn,cn,3.115,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-gas-cn,cn,2.79,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-gas-cn,cn,2.87,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-gas-cn,cn,3.393,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-gas-cn,cn,3.094,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-share-gas-cn,cn,2.824,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-share-gas-cn,cn,2.995,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-share-gas-cn,cn,2.831,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-gas-cn,cn,2.714,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-gas-cn,cn,2.931,https://ember-energy.org/data/monthly-electricity-data/
