date,indicator_id,region,value,source_url
2001-01-01,ember-share-gas-us,us,12.78,https://ember-energy.org/data/monthly-electricity-data/
2001-01-02,ember-share-gas-us,us,13.45,https://ember-energy.org/data/monthly-electricity-data/
2001-01-03,ember-share-gas-us,us,14.79,https://ember-energy.org/data/monthly-electricity-data/
2001-01-04,ember-share-gas-us,us,16.52,https://ember-energy.org/data/monthly-electricity-data/
2001-01-05,ember-share-gas-us,us,16.99,https://ember-energy.org/data/monthly-electricity-data/
2001-01-06,ember-share-gas-us,us,17.62,https://ember-energy.org/data/monthly-electricity-data/
2001-01-07,ember-share-gas-us,us,20.48,https://ember-energy.org/data/monthly-electricity-data/
2001-01-08,ember-share-gas-us,us,21.22,https://ember-energy.org/data/monthly-electricity-data/
2001-01-09,ember-share-gas-us,us,19.66,https://ember-energy.org/data/monthly-electricity-data/
2001-01-10,ember-share-gas-us,us,19.19,https://ember-energy.org/data/monthly-electricity-data/
2001-01-11,ember-share-gas-us,us,15.99,https://ember-energy.org/data/monthly-electricity-data/
2001-01-12,ember-share-gas-us,us,15.61,https://ember-energy.org/data/monthly-electricity-data/
2001-02-01,ember-share-gas-us,us,13.45,https://ember-energy.org/data/monthly-electricity-data/
2001-03-01,ember-share-gas-us,us,14.79,https://ember-energy.org/data/monthly-electricity-data/
2001-04-01,ember-share-gas-us,us,16.52,https://ember-energy.org/data/monthly-electricity-data/
2001-05-01,ember-share-gas-us,us,16.99,https://ember-energy.org/data/monthly-electricity-data/
2001-06-01,ember-share-gas-us,us,17.62,https://ember-energy.org/data/monthly-electricity-data/
2001-07-01,ember-share-gas-us,us,20.48,https://ember-energy.org/data/monthly-electricity-data/
2001-08-01,ember-share-gas-us,us,21.22,https://ember-energy.org/data/monthly-electricity-data/
2001-09-01,ember-share-gas-us,us,19.66,https://ember-energy.org/data/monthly-electricity-data/
2001-10-01,ember-share-gas-us,us,19.19,https://ember-energy.org/data/monthly-electricity-data/
2001-11-01,ember-share-gas-us,us,15.99,https://ember-energy.org/data/monthly-electricity-data/
2001-12-01,ember-share-gas-us,us,15.61,https://ember-energy.org/data/monthly-electricity-data/
2002-01-01,ember-share-gas-us,us,15.19,https://ember-energy.org/data/monthly-electricity-data/
2002-01-02,ember-share-gas-us,us,15.79,https://ember-energy.org/data/monthly-electricity-data/
2002-01-03,ember-share-gas-us,us,16.99,https://ember-energy.org/data/monthly-electricity-data/
2002-01-04,ember-share-gas-us,us,17.03,https://ember-energy.org/data/monthly-electricity-data/
2002-01-05,ember-share-gas-us,us,16.42,https://ember-energy.org/data/monthly-electricity-data/
2002-01-06,ember-share-gas-us,us,19.32,https://ember-energy.org/data/monthly-electricity-data/
2002-01-07,ember-share-gas-us,us,22.07,https://ember-energy.org/data/monthly-electricity-data/
2002-01-08,ember-share-gas-us,us,22.64,https://ember-energy.org/data/monthly-electricity-data/
2002-01-09,ember-share-gas-us,us,20.66,https://ember-energy.org/data/monthly-electricity-data/
2002-01-10,ember-share-gas-us,us,17.71,https://ember-energy.org/data/monthly-electricity-data/
2002-01-11,ember-share-gas-us,us,15.29,https://ember-energy.org/data/monthly-electricity-data/
2002-01-12,ember-share-gas-us,us,14.24,https://ember-energy.org/data/monthly-electricity-data/
2002-02-01,ember-share-gas-us,us,15.79,https://ember-energy.org/data/monthly-electricity-data/
2002-03-01,ember-share-gas-us,us,16.99,https://ember-energy.org/data/monthly-electricity-data/
2002-04-01,ember-share-gas-us,us,17.03,https://ember-energy.org/data/monthly-electricity-data/
2002-05-01,ember-share-gas-us,us,16.42,https://ember-energy.org/data/monthly-electricity-data/
2002-06-01,ember-share-gas-us,us,19.32,https://ember-energy.org/data/monthly-electricity-data/
2002-07-01,ember-share-gas-us,us,22.07,https://ember-energy.org/data/monthly-electricity-data/
2002-08-01,ember-share-gas-us,us,22.64,https://ember-energy.org/data/monthly-electricity-data/
2002-09-01,ember-share-gas-us,us,20.66,https://ember-energy.org/data/monthly-electricity-data/
2002-10-01,ember-share-gas-us,us,17.71,https://ember-energy.org/data/monthly-electricity-data/
2002-11-01,ember-share-gas-us,us,15.29,https://ember-energy.org/data/monthly-electricity-data/
2002-12-01,ember-share-gas-us,us,14.24,https://ember-energy.org/data/monthly-electricity-data/
2003-01-01,ember-share-gas-us,us,14.71,https://ember-energy.org/data/monthly-electricity-data/
2003-01-02,ember-share-gas-us,us,14.59,https://ember-energy.org/data/monthly-electricity-data/
2003-01-03,ember-share-gas-us,us,15.38,https://ember-energy.org/data/monthly-electricity-data/
2003-01-04,ember-share-gas-us,us,15.88,https://ember-energy.org/data/monthly-electricity-data/
2003-01-05,ember-share-gas-us,us,16.11,https://ember-energy.org/data/monthly-electricity-data/
2003-01-06,ember-share-gas-us,us,16.63,https://ember-energy.org/data/monthly-electricity-data/
2003-01-07,ember-share-gas-us,us,20.63,https://ember-energy.org/data/monthly-electricity-data/
2003-01-08,ember-share-gas-us,us,21.89,https://ember-energy.org/data/monthly-electricity-data/
2003-01-09,ember-share-gas-us,us,18.36,https://ember-energy.org/data/monthly-electricity-data/
2003-01-10,ember-share-gas-us,us,16.97,https://ember-energy.org/data/monthly-electricity-data/
2003-01-11,ember-share-gas-us,us,15.29,https://ember-energy.org/data/monthly-electricity-data/
2003-01-12,ember-share-gas-us,us,13.33,https://ember-energy.org/data/monthly-electricity-data/
2003-02-01,ember-share-gas-us,us,14.59,https://ember-energy.org/data/monthly-electricity-data/
2003-03-01,ember-share-gas-us,us,15.38,https://ember-energy.org/data/monthly-electricity-data/
2003-04-01,ember-share-gas-us,us,15.88,https://ember-energy.org/data/monthly-electricity-data/
2003-05-01,ember-share-gas-us,us,16.11,https://ember-energy.org/data/monthly-electricity-data/
2003-06-01,ember-share-gas-us,us,16.63,https://ember-energy.org/data/monthly-electricity-data/
2003-07-01,ember-share-gas-us,us,20.63,https://ember-energy.org/data/monthly-electricity-data/
2003-08-01,ember-share-gas-us,us,21.89,https://ember-energy.org/data/monthly-electricity-data/
2003-09-01,ember-share-gas-us,us,18.36,https://ember-energy.org/data/monthly-electricity-data/
2003-10-01,ember-share-gas-us,us,16.97,https://ember-energy.org/data/monthly-electricity-data/
2003-11-01,ember-share-gas-us,us,15.29,https://ember-energy.org/data/monthly-electricity-data/
2003-12-01,ember-share-gas-us,us,13.33,https://ember-energy.org/data/monthly-electricity-data/
2004-01-01,ember-share-gas-us,us,13.99,https://ember-energy.org/data/monthly-electricity-data/
2004-01-02,ember-share-gas-us,us,16.09,https://ember-energy.org/data/monthly-electricity-data/
2004-01-03,ember-share-gas-us,us,16.2,https://ember-energy.org/data/monthly-electricity-data/
2004-01-04,ember-share-gas-us,us,17.92,https://ember-energy.org/data/monthly-electricity-data/
2004-01-05,ember-share-gas-us,us,19.03,https://ember-energy.org/data/monthly-electricity-data/
2004-01-06,ember-share-gas-us,us,18.83,https://ember-energy.org/data/monthly-electricity-data/
2004-01-07,ember-share-gas-us,us,21.1,https://ember-energy.org/data/monthly-electricity-data/
2004-01-08,ember-share-gas-us,us,21.22,https://ember-energy.org/data/monthly-electricity-data/
2004-01-09,ember-share-gas-us,us,20.31,https://ember-energy.org/data/monthly-electricity-data/
2004-01-10,ember-share-gas-us,us,18.41,https://ember-energy.org/data/monthly-electricity-data/
2004-01-11,ember-share-gas-us,us,16.53,https://ember-energy.org/data/monthly-electricity-data/
2004-01-12,ember-share-gas-us,us,15.08,https://ember-energy.org/data/monthly-electricity-data/
2004-02-01,ember-share-gas-us,us,16.09,https://ember-energy.org/data/monthly-electricity-data/
2004-03-01,ember-share-gas-us,us,16.2,https://ember-energy.org/data/monthly-electricity-data/
2004-04-01,ember-share-gas-us,us,17.92,https://ember-energy.org/data/monthly-electricity-data/
2004-05-01,ember-share-gas-us,us,19.03,https://ember-energy.org/data/monthly-electricity-data/
2004-06-01,ember-share-gas-us,us,18.83,https://ember-energy.org/data/monthly-electricity-data/
2004-07-01,ember-share-gas-us,us,21.1,https://ember-energy.org/data/monthly-electricity-data/
2004-08-01,ember-share-gas-us,us,21.22,https://ember-energy.org/data/monthly-electricity-data/
2004-09-01,ember-share-gas-us,us,20.31,https://ember-energy.org/data/monthly-electricity-data/
2004-10-01,ember-share-gas-us,us,18.41,https://ember-energy.org/data/monthly-electricity-data/
2004-11-01,ember-share-gas-us,us,16.53,https://ember-energy.org/data/monthly-electricity-data/
2004-12-01,ember-share-gas-us,us,15.08,https://ember-energy.org/data/monthly-electricity-data/
2005-01-01,ember-share-gas-us,us,15.04,https://ember-energy.org/data/monthly-electricity-data/
2005-01-02,ember-share-gas-us,us,15.13,https://ember-energy.org/data/monthly-electricity-data/
2005-01-03,ember-share-gas-us,us,16.44,https://ember-energy.org/data/monthly-electricity-data/
2005-01-04,ember-share-gas-us,us,18.06,https://ember-energy.org/data/monthly-electricity-data/
2005-01-05,ember-share-gas-us,us,17.5,https://ember-energy.org/data/monthly-electricity-data/
2005-01-06,ember-share-gas-us,us,20.91,https://ember-energy.org/data/monthly-electricity-data/
2005-01-07,ember-share-gas-us,us,24.18,https://ember-energy.org/data/monthly-electricity-data/
2005-01-08,ember-share-gas-us,us,25.01,https://ember-energy.org/data/monthly-electricity-data/
2005-01-09,ember-share-gas-us,us,21.05,https://ember-energy.org/data/monthly-electricity-data/
2005-01-10,ember-share-gas-us,us,17.77,https://ember-energy.org/data/monthly-electricity-data/
2005-01-11,ember-share-gas-us,us,16.23,https://ember-energy.org/data/monthly-electricity-data/
2005-01-12,ember-share-gas-us,us,15.58,https://ember-energy.org/data/monthly-electricity-data/
2005-02-01,ember-share-gas-us,us,15.13,https://ember-energy.org/data/monthly-electricity-data/
2005-03-01,ember-share-gas-us,us,16.44,https://ember-energy.org/data/monthly-electricity-data/
2005-04-01,ember-share-gas-us,us,18.06,https://ember-energy.org/data/monthly-electricity-data/
2005-05-01,ember-share-gas-us,us,17.5,https://ember-energy.org/data/monthly-electricity-data/
2005-06-01,ember-share-gas-us,us,20.91,https://ember-energy.org/data/monthly-electricity-data/
2005-07-01,ember-share-gas-us,us,24.18,https://ember-energy.org/data/monthly-electricity-data/
2005-08-01,ember-share-gas-us,us,25.01,https://ember-energy.org/data/monthly-electricity-data/
2005-09-01,ember-share-gas-us,us,21.05,https://ember-energy.org/data/monthly-electricity-data/
2005-10-01,ember-share-gas-us,us,17.77,https://ember-energy.org/data/monthly-electricity-data/
2005-11-01,ember-share-gas-us,us,16.23,https://ember-energy.org/data/monthly-electricity-data/
2005-12-01,ember-share-gas-us,us,15.58,https://ember-energy.org/data/monthly-electricity-data/
2006-01-01,ember-share-gas-us,us,13.4,https://ember-energy.org/data/monthly-electricity-data/
2006-01-02,ember-share-gas-us,us,15.5,https://ember-energy.org/data/monthly-electricity-data/
2006-01-03,ember-share-gas-us,us,17.31,https://ember-energy.org/data/monthly-electricity-data/
2006-01-04,ember-share-gas-us,us,18.93,https://ember-energy.org/data/monthly-electricity-data/
2006-01-05,ember-share-gas-us,us,19.92,https://ember-energy.org/data/monthly-electricity-data/
2006-01-06,ember-share-gas-us,us,22.35,https://ember-energy.org/data/monthly-electricity-data/
2006-01-07,ember-share-gas-us,us,26.45,https://ember-energy.org/data/monthly-electricity-data/
2006-01-08,ember-share-gas-us,us,26.25,https://ember-energy.org/data/monthly-electricity-data/
2006-01-09,ember-share-gas-us,us,21.98,https://ember-energy.org/data/monthly-electricity-data/
2006-01-10,ember-share-gas-us,us,22.06,https://ember-energy.org/data/monthly-electricity-data/
2006-01-11,ember-share-gas-us,us,17.35,https://ember-energy.org/data/monthly-electricity-data/
2006-01-12,ember-share-gas-us,us,16.76,https://ember-energy.org/data/monthly-electricity-data/
2006-02-01,ember-share-gas-us,us,15.5,https://ember-energy.org/data/monthly-electricity-data/
2006-03-01,ember-share-gas-us,us,17.31,https://ember-energy.org/data/monthly-electricity-data/
2006-04-01,ember-share-gas-us,us,18.93,https://ember-energy.org/data/monthly-electricity-data/
2006-05-01,ember-share-gas-us,us,19.92,https://ember-energy.org/data/monthly-electricity-data/
2006-06-01,ember-share-gas-us,us,22.35,https://ember-energy.org/data/monthly-electricity-data/
2006-07-01,ember-share-gas-us,us,26.45,https://ember-energy.org/data/monthly-electricity-data/
2006-08-01,ember-share-gas-us,us,26.25,https://ember-energy.org/data/monthly-electricity-data/
2006-09-01,ember-share-gas-us,us,21.98,https://ember-energy.org/data/monthly-electricity-data/
2006-10-01,ember-share-gas-us,us,22.06,https://ember-energy.org/data/monthly-electricity-data/
2006-11-01,ember-share-gas-us,us,17.35,https://ember-energy.org/data/monthly-electricity-data/
2006-12-01,ember-share-gas-us,us,16.76,https://ember-energy.org/data/monthly-electricity-data/
2007-01-01,ember-share-gas-us,us,17.46,https://ember-energy.org/data/monthly-electricity-data/
2007-01-02,ember-share-gas-us,us,17.89,https://ember-energy.org/data/monthly-electricity-data/
2007-01-03,ember-share-gas-us,us,17.6,https://ember-energy.org/data/monthly-electricity-data/
2007-01-04,ember-share-gas-us,us,19.92,https://ember-energy.org/data/monthly-electricity-data/
2007-01-05,ember-share-gas-us,us,20.21,https://ember-energy.org/data/monthly-electricity-data/
2007-01-06,ember-share-gas-us,us,22.56,https://ember-energy.org/data/monthly-electricity-data/
2007-01-07,ember-share-gas-us,us,24.87,https://ember-energy.org/data/monthly-electricity-data/
2007-01-08,ember-share-gas-us,us,28.86,https://ember-energy.org/data/monthly-electricity-data/
2007-01-09,ember-share-gas-us,us,24.99,https://ember-energy.org/data/monthly-electricity-data/
2007-01-10,ember-share-gas-us,us,23.63,https://ember-energy.org/data/monthly-electricity-data/
2007-01-11,ember-share-gas-us,us,19.36,https://ember-energy.org/data/monthly-electricity-data/
2007-01-12,ember-share-gas-us,us,19.36,https://ember-energy.org/data/monthly-electricity-data/
2007-02-01,ember-share-gas-us,us,17.89,https://ember-energy.org/data/monthly-electricity-data/
2007-03-01,ember-share-gas-us,us,17.6,https://ember-energy.org/data/monthly-electricity-data/
2007-04-01,ember-share-gas-us,us,19.92,https://ember-energy.org/data/monthly-electricity-data/
2007-05-01,ember-share-gas-us,us,20.21,https://ember-energy.org/data/monthly-electricity-data/
2007-06-01,ember-share-gas-us,us,22.56,https://ember-energy.org/data/monthly-electricity-data/
2007-07-01,ember-share-gas-us,us,24.87,https://ember-energy.org/data/monthly-electricity-data/
2007-08-01,ember-share-gas-us,us,28.86,https://ember-energy.org/data/monthly-electricity-data/
2007-09-01,ember-share-gas-us,us,24.99,https://ember-energy.org/data/monthly-electricity-data/
2007-10-01,ember-share-gas-us,us,23.63,https://ember-energy.org/data/monthly-electricity-data/
2007-11-01,ember-share-gas-us,us,19.36,https://ember-energy.org/data/monthly-electricity-data/
2007-12-01,ember-share-gas-us,us,19.36,https://ember-energy.org/data/monthly-electricity-data/
2008-01-01,ember-share-gas-us,us,20.07,https://ember-energy.org/data/monthly-electricity-data/
2008-01-02,ember-share-gas-us,us,18.53,https://ember-energy.org/data/monthly-electricity-data/
2008-01-03,ember-share-gas-us,us,19.2,https://ember-energy.org/data/monthly-electricity-data/
2008-01-04,ember-share-gas-us,us,20.68,https://ember-energy.org/data/monthly-electricity-data/
2008-01-05,ember-share-gas-us,us,19.2,https://ember-energy.org/data/monthly-electricity-data/
2008-01-06,ember-share-gas-us,us,22.74,https://ember-energy.org/data/monthly-electricity-data/
2008-01-07,ember-share-gas-us,us,24.96,https://ember-energy.org/data/monthly-electricity-data/
2008-01-08,ember-share-gas-us,us,25.69,https://ember-energy.org/data/monthly-electricity-data/
2008-01-09,ember-share-gas-us,us,23.48,https://ember-energy.org/data/monthly-electricity-data/
2008-01-10,ember-share-gas-us,us,23.09,https://ember-energy.org/data/monthly-electricity-data/
2008-01-11,ember-share-gas-us,us,19.88,https://ember-energy.org/data/monthly-electricity-data/
2008-01-12,ember-share-gas-us,us,18.77,https://ember-energy.org/data/monthly-electricity-data/
2008-02-01,ember-share-gas-us,us,18.53,https://ember-energy.org/data/monthly-electricity-data/
2008-03-01,ember-share-gas-us,us,19.2,https://ember-energy.org/data/monthly-electricity-data/
2008-04-01,ember-share-gas-us,us,20.68,https://ember-energy.org/data/monthly-electricity-data/
2008-05-01,ember-share-gas-us,us,19.2,https://ember-energy.org/data/monthly-electricity-data/
2008-06-01,ember-share-gas-us,us,22.74,https://ember-energy.org/data/monthly-electricity-data/
2008-07-01,ember-share-gas-us,us,24.96,https://ember-energy.org/data/monthly-electricity-data/
2008-08-01,ember-share-gas-us,us,25.69,https://ember-energy.org/data/monthly-electricity-data/
2008-09-01,ember-share-gas-us,us,23.48,https://ember-energy.org/data/monthly-electricity-data/
2008-10-01,ember-share-gas-us,us,23.09,https://ember-energy.org/data/monthly-electricity-data/
2008-11-01,ember-share-gas-us,us,19.88,https://ember-energy.org/data/monthly-electricity-data/
2008-12-01,ember-share-gas-us,us,18.77,https://ember-energy.org/data/monthly-electricity-data/
2009-01-01,ember-share-gas-us,us,18.75,https://ember-energy.org/data/monthly-electricity-data/
2009-01-02,ember-share-gas-us,us,20.71,https://ember-energy.org/data/monthly-electricity-data/
2009-01-03,ember-share-gas-us,us,22.03,https://ember-energy.org/data/monthly-electricity-data/
2009-01-04,ember-share-gas-us,us,21.19,https://ember-energy.org/data/monthly-electricity-data/
2009-01-05,ember-share-gas-us,us,21.96,https://ember-energy.org/data/monthly-electricity-data/
2009-01-06,ember-share-gas-us,us,24.29,https://ember-energy.org/data/monthly-electricity-data/
2009-01-07,ember-share-gas-us,us,27.43,https://ember-energy.org/data/monthly-electricity-data/
2009-01-08,ember-share-gas-us,us,28.73,https://ember-energy.org/data/monthly-electricity-data/
2009-01-09,ember-share-gas-us,us,28.22,https://ember-energy.org/data/monthly-electricity-data/
2009-01-10,ember-share-gas-us,us,23.69,https://ember-energy.org/data/monthly-electricity-data/
2009-01-11,ember-share-gas-us,us,21.37,https://ember-energy.org/data/monthly-electricity-data/
2009-01-12,ember-share-gas-us,us,20.47,https://ember-energy.org/data/monthly-electricity-data/
2009-02-01,ember-share-gas-us,us,20.71,https://ember-energy.org/data/monthly-electricity-data/
2009-03-01,ember-share-gas-us,us,22.03,https://ember-energy.org/data/monthly-electricity-data/
2009-04-01,ember-share-gas-us,us,21.19,https://ember-energy.org/data/monthly-electricity-data/
2009-05-01,ember-share-gas-us,us,21.96,https://ember-energy.org/data/monthly-electricity-data/
2009-06-01,ember-share-gas-us,us,24.29,https://ember-energy.org/data/monthly-electricity-data/
2009-07-01,ember-share-gas-us,us,27.43,https://ember-energy.org/data/monthly-electricity-data/
2009-08-01,ember-share-gas-us,us,28.73,https://ember-energy.org/data/monthly-electricity-data/
2009-09-01,ember-share-gas-us,us,28.22,https://ember-energy.org/data/monthly-electricity-data/
2009-10-01,ember-share-gas-us,us,23.69,https://ember-energy.org/data/monthly-electricity-data/
2009-11-01,ember-share-gas-us,us,21.37,https://ember-energy.org/data/monthly-electricity-data/
2009-12-01,ember-share-gas-us,us,20.47,https://ember-energy.org/data/monthly-electricity-data/
2010-01-01,ember-share-gas-us,us,20.6,https://ember-energy.org/data/monthly-electricity-data/
2010-01-02,ember-share-gas-us,us,20.76,https://ember-energy.org/data/monthly-electricity-data/
2010-01-03,ember-share-gas-us,us,20.38,https://ember-energy.org/data/monthly-electricity-data/
2010-01-04,ember-share-gas-us,us,22.53,https://ember-energy.org/data/monthly-electricity-data/
2010-01-05,ember-share-gas-us,us,22.53,https://ember-energy.org/data/monthly-electricity-data/
2010-01-06,ember-share-gas-us,us,24.63,https://ember-energy.org/data/monthly-electricity-data/
2010-01-07,ember-share-gas-us,us,28.06,https://ember-energy.org/data/monthly-electricity-data/
2010-01-08,ember-share-gas-us,us,29.7,https://ember-energy.org/data/monthly-electricity-data/
2010-01-09,ember-share-gas-us,us,26.94,https://ember-energy.org/data/monthly-electricity-data/
2010-01-10,ember-share-gas-us,us,25.31,https://ember-energy.org/data/monthly-electricity-data/
2010-01-11,ember-share-gas-us,us,22.67,https://ember-energy.org/data/monthly-electricity-data/
2010-01-12,ember-share-gas-us,us,21.47,https://ember-energy.org/data/monthly-electricity-data/
2010-02-01,ember-share-gas-us,us,20.76,https://ember-energy.org/data/monthly-electricity-data/
2010-03-01,ember-share-gas-us,us,20.38,https://ember-energy.org/data/monthly-electricity-data/
2010-04-01,ember-share-gas-us,us,22.53,https://ember-energy.org/data/monthly-electricity-data/
2010-05-01,ember-share-gas-us,us,22.53,https://ember-energy.org/data/monthly-electricity-data/
2010-06-01,ember-share-gas-us,us,24.63,https://ember-energy.org/data/monthly-electricity-data/
2010-07-01,ember-share-gas-us,us,28.06,https://ember-energy.org/data/monthly-electricity-data/
2010-08-01,ember-share-gas-us,us,29.7,https://ember-energy.org/data/monthly-electricity-data/
2010-09-01,ember-share-gas-us,us,26.94,https://ember-energy.org/data/monthly-electricity-data/
2010-10-01,ember-share-gas-us,us,25.31,https://ember-energy.org/data/monthly-electricity-data/
2010-11-01,ember-share-gas-us,us,22.67,https://ember-energy.org/data/monthly-electricity-data/
2010-12-01,ember-share-gas-us,us,21.47,https://ember-energy.org/data/monthly-electricity-data/
2011-01-01,ember-share-gas-us,us,20.54,https://ember-energy.org/data/monthly-electricity-data/
2011-01-02,ember-share-gas-us,us,21.12,https://ember-energy.org/data/monthly-electricity-data/
2011-01-03,ember-share-gas-us,us,20.77,https://ember-energy.org/data/monthly-electricity-data/
2011-01-04,ember-share-gas-us,us,23.22,https://ember-energy.org/data/monthly-electricity-data/
2011-01-05,ember-share-gas-us,us,23.31,https://ember-energy.org/data/monthly-electricity-data/
2011-01-06,ember-share-gas-us,us,24.73,https://ember-energy.org/data/monthly-electricity-data/
2011-01-07,ember-share-gas-us,us,28.65,https://ember-energy.org/data/monthly-electricity-data/
2011-01-08,ember-share-gas-us,us,29.56,https://ember-energy.org/data/monthly-electricity-data/
2011-01-09,ember-share-gas-us,us,27.23,https://ember-energy.org/data/monthly-electricity-data/
2011-01-10,ember-share-gas-us,us,25.59,https://ember-energy.org/data/monthly-electricity-data/
2011-01-11,ember-share-gas-us,us,24.84,https://ember-energy.org/data/monthly-electricity-data/
2011-01-12,ember-share-gas-us,us,25.71,https://ember-energy.org/data/monthly-electricity-data/
2011-02-01,ember-share-gas-us,us,21.12,https://ember-energy.org/data/monthly-electricity-data/
2011-03-01,ember-share-gas-us,us,20.77,https://ember-energy.org/data/monthly-electricity-data/
2011-04-01,ember-share-gas-us,us,23.22,https://ember-energy.org/data/monthly-electricity-data/
2011-05-01,ember-share-gas-us,us,23.31,https://ember-energy.org/data/monthly-electricity-data/
2011-06-01,ember-share-gas-us,us,24.73,https://ember-energy.org/data/monthly-electricity-data/
2011-07-01,ember-share-gas-us,us,28.65,https://ember-energy.org/data/monthly-electricity-data/
2011-08-01,ember-share-gas-us,us,29.56,https://ember-energy.org/data/monthly-electricity-data/
2011-09-01,ember-share-gas-us,us,27.23,https://ember-energy.org/data/monthly-electricity-data/
2011-10-01,ember-share-gas-us,us,25.59,https://ember-energy.org/data/monthly-electricity-data/
2011-11-01,ember-share-gas-us,us,24.84,https://ember-energy.org/data/monthly-electricity-data/
2011-12-01,ember-share-gas-us,us,25.71,https://ember-energy.org/data/monthly-electricity-data/
2012-01-01,ember-share-gas-us,us,26.82,https://ember-energy.org/data/monthly-electricity-data/
2012-01-02,ember-share-gas-us,us,29.36,https://ember-energy.org/data/monthly-electricity-data/
2012-01-03,ember-share-gas-us,us,29.88,https://ember-energy.org/data/monthly-electricity-data/
2012-01-04,ember-share-gas-us,us,32.15,https://ember-energy.org/data/monthly-electricity-data/
2012-01-05,ember-share-gas-us,us,31.94,https://ember-energy.org/data/monthly-electricity-data/
2012-01-06,ember-share-gas-us,us,32.09,https://ember-energy.org/data/monthly-electricity-data/
2012-01-07,ember-share-gas-us,us,33.54,https://ember-energy.org/data/monthly-electricity-data/
2012-01-08,ember-share-gas-us,us,33.35,https://ember-energy.org/data/monthly-electricity-data/
2012-01-09,ember-share-gas-us,us,32.35,https://ember-energy.org/data/monthly-electricity-data/
2012-01-10,ember-share-gas-us,us,29.48,https://ember-energy.org/data/monthly-electricity-data/
2012-01-11,ember-share-gas-us,us,26.25,https://ember-energy.org/data/monthly-electricity-data/
2012-01-12,ember-share-gas-us,us,25.14,https://ember-energy.org/data/monthly-electricity-data/
2012-02-01,ember-share-gas-us,us,29.36,https://ember-energy.org/data/monthly-electricity-data/
2012-03-01,ember-share-gas-us,us,29.88,https://ember-energy.org/data/monthly-electricity-data/
2012-04-01,ember-share-gas-us,us,32.15,https://ember-energy.org/data/monthly-electricity-data/
2012-05-01,ember-share-gas-us,us,31.94,https://ember-energy.org/data/monthly-electricity-data/
2012-06-01,ember-share-gas-us,us,32.09,https://ember-energy.org/data/monthly-electricity-data/
2012-07-01,ember-share-gas-us,us,33.54,https://ember-energy.org/data/monthly-electricity-data/
2012-08-01,ember-share-gas-us,us,33.35,https://ember-energy.org/data/monthly-electricity-data/
2012-09-01,ember-share-gas-us,us,32.35,https://ember-energy.org/data/monthly-electricity-data/
2012-10-01,ember-share-gas-us,us,29.48,https://ember-energy.org/data/monthly-electricity-data/
2012-11-01,ember-share-gas-us,us,26.25,https://ember-energy.org/data/monthly-electricity-data/
2012-12-01,ember-share-gas-us,us,25.14,https://ember-energy.org/data/monthly-electricity-data/
2013-01-01,ember-share-gas-us,us,25.44,https://ember-energy.org/data/monthly-electricity-data/
2013-01-02,ember-share-gas-us,us,25.97,https://ember-energy.org/data/monthly-electricity-data/
2013-01-03,ember-share-gas-us,us,26.1,https://ember-energy.org/data/monthly-electricity-data/
2013-01-04,ember-share-gas-us,us,26.13,https://ember-energy.org/data/monthly-electricity-data/
2013-01-05,ember-share-gas-us,us,26.11,https://ember-energy.org/data/monthly-electricity-data/
2013-01-06,ember-share-gas-us,us,28.0,https://ember-energy.org/data/monthly-electricity-data/
2013-01-07,ember-share-gas-us,us,30.67,https://ember-energy.org/data/monthly-electricity-data/
2013-01-08,ember-share-gas-us,us,31.54,https://ember-energy.org/data/monthly-electricity-data/
2013-01-09,ember-share-gas-us,us,30.02,https://ember-energy.org/data/monthly-electricity-data/
2013-01-10,ember-share-gas-us,us,28.2,https://ember-energy.org/data/monthly-electricity-data/
2013-01-11,ember-share-gas-us,us,26.85,https://ember-energy.org/data/monthly-electricity-data/
2013-01-12,ember-share-gas-us,us,26.38,https://ember-energy.org/data/monthly-electricity-data/
2013-02-01,ember-share-gas-us,us,25.97,https://ember-energy.org/data/monthly-electricity-data/
2013-03-01,ember-share-gas-us,us,26.1,https://ember-energy.org/data/monthly-electricity-data/
2013-04-01,ember-share-gas-us,us,26.13,https://ember-energy.org/data/monthly-electricity-data/
2013-05-01,ember-share-gas-us,us,26.11,https://ember-energy.org/data/monthly-electricity-data/
2013-06-01,ember-share-gas-us,us,28.0,https://ember-energy.org/data/monthly-electricity-data/
