date,indicator_id,region,value,source_url
2015-01-01,ember-share-hydro-cn,cn,12.16,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-hydro-cn,cn,12.17,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-hydro-cn,cn,14.95,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-hydro-cn,cn,15.71,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-hydro-cn,cn,16.72,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-hydro-cn,cn,21.49,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-hydro-cn,cn,21.46,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-hydro-cn,cn,20.22,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-hydro-cn,cn,23.46,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-hydro-cn,cn,22.26,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-hydro-cn,cn,16.57,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-hydro-cn,cn,13.58,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-hydro-cn,cn,14.66,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-hydro-cn,cn,14.66,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-hydro-cn,cn,15.17,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-hydro-cn,cn,17.25,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-hydro-cn,cn,19.84,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-hydro-cn,cn,21.37,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-hydro-cn,cn,22.2,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-hydro-cn,cn,19.5,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-hydro-cn,cn,18.95,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-hydro-cn,cn,18.61,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-hydro-cn,cn,15.68,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-hydro-cn,cn,11.93,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-hydro-cn,cn,12.68,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-hydro-cn,cn,12.69,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-hydro-cn,cn,13.46,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-hydro-cn,cn,14.91,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-hydro-cn,cn,17.21,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-hydro-cn,cn,19.52,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-hydro-cn,cn,19.93,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-hydro-cn,cn,18.93,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-hydro-cn,cn,20.69,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-hydro-cn,cn,20.48,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-hydro-cn,cn,15.96,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-hydro-cn,cn,12.26,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-hydro-cn,cn,11.81,https://ember-energy.org/data/monthly-electricity-data/
