date,indicator_id,region,value,source_url
2018-04-01,ember-share-hydro-jp,jp,12.11,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-hydro-jp,jp,13.65,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-hydro-jp,jp,9.51,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-share-hydro-jp,jp,8.74,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-share-hydro-jp,jp,7.0,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-share-hydro-jp,jp,10.47,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-share-hydro-jp,jp,8.66,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-share-hydro-jp,jp,5.1,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-share-hydro-jp,jp,5.52,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-share-hydro-jp,jp,4.6,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-share-hydro-jp,jp,5.26,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-share-hydro-jp,jp,6.59,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-share-hydro-jp,jp,7.71,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-share-hydro-jp,jp,10.3,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-share-hydro-jp,jp,10.17,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-share-hydro-jp,jp,10.72,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-share-hydro-jp,jp,8.79,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-share-hydro-jp,jp,8.21,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-share-hydro-jp,jp,8.45,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-share-hydro-jp,jp,6.44,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-share-hydro-jp,jp,5.77,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-share-hydro-jp,jp,6.3,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-share-hydro-jp,jp,6.88,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-share-hydro-jp,jp,8.07,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-share-hydro-jp,jp,10.77,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-share-hydro-jp,jp,12.24,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-share-hydro-jp,jp,11.08,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-share-hydro-jp,jp,12.83,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-share-hydro-jp,jp,8.56,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-share-hydro-jp,jp,7.88,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-share-hydro-jp,jp,7.09,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-share-hydro-jp,jp,5.65,https://ember-energy.org/data/monthly-electricity-data/
