date,indicator_id,region,value,source_url
2015-01-01,ember-share-nuclear-cn,cn,2.68,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-nuclear-cn,cn,2.68,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-nuclear-cn,cn,2.68,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-nuclear-cn,cn,2.76,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-nuclear-cn,cn,2.96,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-nuclear-cn,cn,3.31,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-nuclear-cn,cn,3.28,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-nuclear-cn,cn,3.25,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-nuclear-cn,cn,3.47,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-nuclear-cn,cn,3.17,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-nuclear-cn,cn,3.08,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-nuclear-cn,cn,3.3,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-nuclear-cn,cn,3.38,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-nuclear-cn,cn,3.38,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-nuclear-cn,cn,3.59,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-nuclear-cn,cn,3.3,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-nuclear-cn,cn,3.46,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-nuclear-cn,cn,3.6,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-nuclear-cn,cn,3.54,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-nuclear-cn,cn,3.53,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-nuclear-cn,cn,3.61,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-nuclear-cn,cn,3.52,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-nuclear-cn,cn,3.8,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-nuclear-cn,cn,3.95,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-nuclear-cn,cn,3.51,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-nuclear-cn,cn,3.52,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-nuclear-cn,cn,4.1,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-nuclear-cn,cn,4.19,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-nuclear-cn,cn,4.08,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-nuclear-cn,cn,3.78,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-nuclear-cn,cn,3.78,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-nuclear-cn,cn,3.82,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-nuclear-cn,cn,4.13,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-nuclear-cn,cn,3.9,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-nuclear-cn,cn,4.12,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-nuclear-cn,cn,3.76,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-nuclear-cn,cn,3.66,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-share-nuclear-cn,cn,3.66,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-share-nuclear-cn,cn,3.97,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-share-nuclear-cn,cn,4.04,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-nuclear-cn,cn,4.14,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-nuclear-cn,cn,4.1,https://ember-energy.org/data/monthly-electricity-data/
