date,indicator_id,region,value,source_url
2015-01-01,ember-share-nuclear-gb,gb,19.924,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-nuclear-gb,gb,19.286,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-nuclear-gb,gb,18.082,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-nuclear-gb,gb,20.986,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-nuclear-gb,gb,21.82,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-nuclear-gb,gb,22.135,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-nuclear-gb,gb,23.259,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-nuclear-gb,gb,21.766,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-nuclear-gb,gb,21.23,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-nuclear-gb,gb,21.915,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-nuclear-gb,gb,20.577,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-nuclear-gb,gb,22.854,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-nuclear-gb,gb,19.416,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-nuclear-gb,gb,19.299,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-nuclear-gb,gb,18.9,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-nuclear-gb,gb,19.771,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-nuclear-gb,gb,22.038,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-nuclear-gb,gb,23.718,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-nuclear-gb,gb,25.97,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-nuclear-gb,gb,25.98,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-nuclear-gb,gb,23.963,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-nuclear-gb,gb,21.213,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-nuclear-gb,gb,20.186,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-nuclear-gb,gb,19.839,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-nuclear-gb,gb,16.98,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-nuclear-gb,gb,19.816,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-nuclear-gb,gb,20.148,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-nuclear-gb,gb,21.082,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-nuclear-gb,gb,23.121,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-nuclear-gb,gb,25.941,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-nuclear-gb,gb,23.475,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-nuclear-gb,gb,25.433,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-nuclear-gb,gb,23.974,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-nuclear-gb,gb,21.548,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-nuclear-gb,gb,17.064,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-nuclear-gb,gb,16.773,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-nuclear-gb,gb,17.842,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-share-nuclear-gb,gb,18.483,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-share-nuclear-gb,gb,17.959,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-share-nuclear-gb,gb,20.398,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-nuclear-gb,gb,21.593,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-nuclear-gb,gb,23.797,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-share-nuclear-gb,gb,22.85,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-share-nuclear-gb,gb,24.264,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-share-nuclear-gb,gb,22.517,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-share-nuclear-gb,gb,16.569,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-share-nuclear-gb,gb,16.328,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-share-nuclear-gb,gb,17.816,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-share-nuclear-gb,gb,15.019,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-share-nuclear-gb,gb,17.034,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-share-nuclear-gb,gb,16.077,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-share-nuclear-gb,gb,18.526,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-share-nuclear-gb,gb,19.398,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-share-nuclear-gb,gb,14.295,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-share-nuclear-gb,gb,16.365,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-share-nuclear-gb,gb,18.903,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-share-nuclear-gb,gb,20.275,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-share-nuclear-gb,gb,18.884,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-share-nuclear-gb,gb,17.6,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-share-nuclear-gb,gb,17.496,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-share-nuclear-gb,gb,17.346,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-share-nuclear-gb,gb,15.259,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-share-nuclear-gb,gb,12.994,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-share-nuclear-gb,gb,18.415,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-share-nuclear-gb,gb,20.155,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-share-nuclear-gb,gb,15.666,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-share-nuclear-gb,gb,16.525,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-share-nuclear-gb,gb,14.121,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-share-nuclear-gb,gb,14.847,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-share-nuclear-gb,gb,18.153,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-share-nuclear-gb,gb,16.885,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-share-nuclear-gb,gb,16.595,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-share-nuclear-gb,gb,14.976,https://ember-energy.org/data/monthly-electricity-data/
2021-02-01,ember-share-nuclear-gb,gb,13.329,https://ember-energy.org/data/monthly-electricity-data/
2021-03-01,ember-share-nuclear-gb,gb,12.796,https://ember-energy.org/data/monthly-electricity-data/
2021-04-01,ember-share-nuclear-gb,gb,14.845,https://ember-energy.org/data/monthly-electricity-data/
