date,indicator_id,region,value,source_url
2016-01-01,ember-share-solar-cn,cn,0.84,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-solar-cn,cn,0.85,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-solar-cn,cn,1.03,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-solar-cn,cn,1.21,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-solar-cn,cn,1.24,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-solar-cn,cn,1.19,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-solar-cn,cn,1.16,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-solar-cn,cn,1.21,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-solar-cn,cn,1.34,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-solar-cn,cn,1.19,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-solar-cn,cn,1.1,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-solar-cn,cn,0.96,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-solar-cn,cn,1.41,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-solar-cn,cn,1.4,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-solar-cn,cn,1.64,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-solar-cn,cn,1.86,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-solar-cn,cn,2.06,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-solar-cn,cn,1.98,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-solar-cn,cn,1.87,https://ember-energy.org/data/monthly-electricity-data/
2017-08-01,ember-share-solar-cn,cn,1.85,https://ember-energy.org/data/monthly-electricity-data/
2017-09-01,ember-share-solar-cn,cn,2.17,https://ember-energy.org/data/monthly-electricity-data/
2017-10-01,ember-share-solar-cn,cn,2.15,https://ember-energy.org/data/monthly-electricity-data/
2017-11-01,ember-share-solar-cn,cn,2.07,https://ember-energy.org/data/monthly-electricity-data/
2017-12-01,ember-share-solar-cn,cn,1.64,https://ember-energy.org/data/monthly-electricity-data/
2018-01-01,ember-share-solar-cn,cn,2.03,https://ember-energy.org/data/monthly-electricity-data/
2018-02-01,ember-share-solar-cn,cn,2.01,https://ember-energy.org/data/monthly-electricity-data/
2018-03-01,ember-share-solar-cn,cn,2.54,https://ember-energy.org/data/monthly-electricity-data/
2018-04-01,ember-share-solar-cn,cn,2.79,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-solar-cn,cn,2.78,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-solar-cn,cn,2.88,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-share-solar-cn,cn,2.55,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-share-solar-cn,cn,2.59,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-share-solar-cn,cn,2.84,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-share-solar-cn,cn,2.98,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-share-solar-cn,cn,2.5,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-share-solar-cn,cn,1.93,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-share-solar-cn,cn,2.18,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-share-solar-cn,cn,2.21,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-share-solar-cn,cn,3.24,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-share-solar-cn,cn,3.6,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-share-solar-cn,cn,3.72,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-share-solar-cn,cn,3.45,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-share-solar-cn,cn,3.21,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-share-solar-cn,cn,3.2,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-share-solar-cn,cn,3.43,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-share-solar-cn,cn,3.26,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-share-solar-cn,cn,2.77,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-share-solar-cn,cn,2.43,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-share-solar-cn,cn,3.02,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-share-solar-cn,cn,2.9,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-share-solar-cn,cn,3.77,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-share-solar-cn,cn,4.05,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-share-solar-cn,cn,3.86,https://ember-energy.org/data/monthly-electricity-data/
2020-06-01,ember-share-solar-cn,cn,3.6,https://ember-energy.org/data/monthly-electricity-data/
2020-07-01,ember-share-solar-cn,cn,3.63,https://ember-energy.org/data/monthly-electricity-data/
2020-08-01,ember-share-solar-cn,cn,3.55,https://ember-energy.org/data/monthly-electricity-data/
2020-09-01,ember-share-solar-cn,cn,3.86,https://ember-energy.org/data/monthly-electricity-data/
2020-10-01,ember-share-solar-cn,cn,3.58,https://ember-energy.org/data/monthly-electricity-data/
2020-11-01,ember-share-solar-cn,cn,2.8,https://ember-energy.org/data/monthly-electricity-data/
2020-12-01,ember-share-solar-cn,cn,2.49,https://ember-energy.org/data/monthly-electricity-data/
2021-01-01,ember-share-solar-cn,cn,3.36,https://ember-energy.org/data/monthly-electricity-data/
2021-02-01,ember-share-solar-cn,cn,3.37,https://ember-energy.org/data/monthly-electricity-data/
2021-03-01,ember-share-solar-cn,cn,3.71,https://ember-energy.org/data/monthly-electricity-data/
2021-04-01,ember-share-solar-cn,cn,4.09,https://ember-energy.org/data/monthly-electricity-data/
2021-05-01,ember-share-solar-cn,cn,4.6,https://ember-energy.org/data/monthly-electricity-data/
2021-06-01,ember-share-solar-cn,cn,4.34,https://ember-energy.org/data/monthly-electricity-data/
2021-07-01,ember-share-solar-cn,cn,3.96,https://ember-energy.org/data/monthly-electricity-data/
2021-08-01,ember-share-solar-cn,cn,4.08,https://ember-energy.org/data/monthly-electricity-data/
2021-09-01,ember-share-solar-cn,cn,4.08,https://ember-energy.org/data/monthly-electricity-data/
2021-10-01,ember-share-solar-cn,cn,3.85,https://ember-energy.org/data/monthly-electricity-data/
2021-11-01,ember-share-solar-cn,cn,3.85,https://ember-energy.org/data/monthly-electricity-data/
2021-12-01,ember-share-solar-cn,cn,3.39,https://ember-energy.org/data/monthly-electricity-data/
2022-01-01,ember-share-solar-cn,cn,3.86,https://ember-energy.org/data/monthly-electricity-data/
2022-02-01,ember-share-solar-cn,cn,3.77,https://ember-energy.org/data/monthly-electricity-data/
2022-03-01,ember-share-solar-cn,cn,4.62,https://ember-energy.org/data/monthly-electricity-data/
2022-04-01,ember-share-solar-cn,cn,5.73,https://ember-energy.org/data/monthly-electricity-data/
2022-05-01,ember-share-solar-cn,cn,5.68,https://ember-energy.org/data/monthly-electricity-data/
2022-06-01,ember-share-solar-cn,cn,5.39,https://ember-energy.org/data/monthly-electricity-data/
2022-07-01,ember-share-solar-cn,cn,5.19,https://ember-energy.org/data/monthly-electricity-data/
2022-08-01,ember-share-solar-cn,cn,5.09,https://ember-energy.org/data/monthly-electricity-data/
2022-09-01,ember-share-solar-cn,cn,5.98,https://ember-energy.org/data/monthly-electricity-data/
2022-10-01,ember-share-solar-cn,cn,5.52,https://ember-energy.org/data/monthly-electricity-data/
2022-11-01,ember-share-solar-cn,cn,4.37,https://ember-energy.org/data/monthly-electricity-data/
2022-12-01,ember-share-solar-cn,cn,3.86,https://ember-energy.org/data/monthly-electricity-data/
2023-01-01,ember-share-solar-cn,cn,4.91,https://ember-energy.org/data/monthly-electricity-data/
2023-02-01,ember-share-solar-cn,cn,4.89,https://ember-energy.org/data/monthly-electricity-data/
2023-03-01,ember-share-solar-cn,cn,5.96,https://ember-energy.org/data/monthly-electricity-data/
2023-04-01,ember-share-solar-cn,cn,6.6,https://ember-energy.org/data/monthly-electricity-data/
2023-05-01,ember-share-solar-cn,cn,7.03,https://ember-energy.org/data/monthly-electricity-data/
2023-06-01,ember-share-solar-cn,cn,7.18,https://ember-energy.org/data/monthly-electricity-data/
2023-07-01,ember-share-solar-cn,cn,6.51,https://ember-energy.org/data/monthly-electricity-data/
2023-08-01,ember-share-solar-cn,cn,6.69,https://ember-energy.org/data/monthly-electricity-data/
2023-09-01,ember-share-solar-cn,cn,6.83,https://ember-energy.org/data/monthly-electricity-data/
2023-10-01,ember-share-solar-cn,cn,7.18,https://ember-energy.org/data/monthly-electricity-data/
2023-11-01,ember-share-solar-cn,cn,6.42,https://ember-energy.org/data/monthly-electricity-data/
2023-12-01,ember-share-solar-cn,cn,5.05,https://ember-energy.org/data/monthly-electricity-data/
2024-01-01,ember-share-solar-cn,cn,6.24,https://ember-energy.org/data/monthly-electricity-data/
2024-02-01,ember-share-solar-cn,cn,6.16,https://ember-energy.org/data/monthly-electricity-data/
2024-03-01,ember-share-solar-cn,cn,8.26,https://ember-energy.org/data/monthly-electricity-data/
2024-04-01,ember-share-solar-cn,cn,9.31,https://ember-energy.org/data/monthly-electricity-data/
2024-05-01,ember-share-solar-cn,cn,10.5,https://ember-energy.org/data/monthly-electricity-data/
2024-06-01,ember-share-solar-cn,cn,9.71,https://ember-energy.org/data/monthly-electricity-data/
2024-07-01,ember-share-solar-cn,cn,8.79,https://ember-energy.org/data/monthly-electricity-data/
2024-08-01,ember-share-solar-cn,cn,9.18,https://ember-energy.org/data/monthly-electricity-data/
2024-09-01,ember-share-solar-cn,cn,8.6,https://ember-energy.org/data/monthly-electricity-data/
2024-10-01,ember-share-solar-cn,cn,9.07,https://ember-energy.org/data/monthly-electricity-data/
2024-11-01,ember-share-solar-cn,cn,7.89,https://ember-energy.org/data/monthly-electricity-data/
2024-12-01,ember-share-solar-cn,cn,7.27,https://ember-energy.org/data/monthly-electricity-data/
2025-01-01,ember-share-solar-cn,cn,9.23,https://ember-energy.org/data/monthly-electricity-data/
2025-02-01,ember-share-solar-cn,cn,9.16,https://ember-energy.org/data/monthly-electricity-data/
2025-03-01,ember-share-solar-cn,cn,10.55,https://ember-energy.org/data/monthly-electricity-data/
2025-04-01,ember-share-solar-cn,cn,12.94,https://ember-energy.org/data/monthly-electricity-data/
2025-05-01,ember-share-solar-cn,cn,13.47,https://ember-energy.org/data/monthly-electricity-data/
2025-06-01,ember-share-solar-cn,cn,13.44,https://ember-energy.org/data/monthly-electricity-data/
2025-07-01,ember-share-solar-cn,cn,12.9,https://ember-energy.org/data/monthly-electricity-data/
2025-08-01,ember-share-solar-cn,cn,12.16,https://ember-energy.org/data/monthly-electricity-data/
2025-09-01,ember-share-solar-cn,cn,11.6,https://ember-energy.org/data/monthly-electricity-data/
2025-10-01,ember-share-solar-cn,cn,9.86,https://ember-energy.org/data/monthly-electricity-data/
2025-11-01,ember-share-solar-cn,cn,10.16,https://ember-energy.org/data/monthly-electricity-data/
2025-12-01,ember-share-solar-cn,cn,9.19,https://ember-energy.org/data/monthly-electricity-data/
2026-01-01,ember-share-solar-cn,cn,10.55,https://ember-energy.org/data/monthly-electricity-data/
2026-02-01,ember-share-solar-cn,cn,10.34,https://ember-energy.org/data/monthly-electricity-data/
2026-03-01,ember-share-solar-cn,cn,11.82,https://ember-energy.org/data/monthly-electricity-data/
2026-04-01,ember-share-solar-cn,cn,14.47,https://ember-energy.org/data/monthly-electricity-data/
2026-05-01,ember-share-solar-cn,cn,15.53,https://ember-energy.org/data/monthly-electricity-data/
