date,indicator_id,region,value,source_url
2015-01-01,ember-share-solar-gb,gb,0.67,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-solar-gb,gb,1.12,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-solar-gb,gb,2.18,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-solar-gb,gb,5.12,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-solar-gb,gb,5.11,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-solar-gb,gb,5.96,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-solar-gb,gb,5.27,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-solar-gb,gb,4.42,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-solar-gb,gb,4.04,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-solar-gb,gb,2.04,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-solar-gb,gb,0.79,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-solar-gb,gb,0.59,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-solar-gb,gb,0.85,https://ember-energy.org/data/monthly-electricity-data/
2016-02-01,ember-share-solar-gb,gb,1.83,https://ember-energy.org/data/monthly-electricity-data/
2016-03-01,ember-share-solar-gb,gb,2.85,https://ember-energy.org/data/monthly-electricity-data/
2016-04-01,ember-share-solar-gb,gb,4.41,https://ember-energy.org/data/monthly-electricity-data/
2016-05-01,ember-share-solar-gb,gb,6.22,https://ember-energy.org/data/monthly-electricity-data/
2016-06-01,ember-share-solar-gb,gb,5.34,https://ember-energy.org/data/monthly-electricity-data/
2016-07-01,ember-share-solar-gb,gb,6.09,https://ember-energy.org/data/monthly-electricity-data/
2016-08-01,ember-share-solar-gb,gb,6.15,https://ember-energy.org/data/monthly-electricity-data/
2016-09-01,ember-share-solar-gb,gb,4.04,https://ember-energy.org/data/monthly-electricity-data/
2016-10-01,ember-share-solar-gb,gb,2.73,https://ember-energy.org/data/monthly-electricity-data/
2016-11-01,ember-share-solar-gb,gb,1.42,https://ember-energy.org/data/monthly-electricity-data/
2016-12-01,ember-share-solar-gb,gb,0.88,https://ember-energy.org/data/monthly-electricity-data/
2017-01-01,ember-share-solar-gb,gb,1.01,https://ember-energy.org/data/monthly-electricity-data/
2017-02-01,ember-share-solar-gb,gb,1.49,https://ember-energy.org/data/monthly-electricity-data/
2017-03-01,ember-share-solar-gb,gb,3.48,https://ember-energy.org/data/monthly-electricity-data/
2017-04-01,ember-share-solar-gb,gb,5.89,https://ember-energy.org/data/monthly-electricity-data/
2017-05-01,ember-share-solar-gb,gb,6.5,https://ember-energy.org/data/monthly-electricity-data/
2017-06-01,ember-share-solar-gb,gb,6.77,https://ember-energy.org/data/monthly-electricity-data/
2017-07-01,ember-share-solar-gb,gb,6.9,https://ember-energy.org/data/monthly-electricity-data/
