date,indicator_id,region,value,source_url
2003-01-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2003-02-01,ember-share-solar-us,us,0.006,https://ember-energy.org/data/monthly-electricity-data/
2003-03-01,ember-share-solar-us,us,0.016,https://ember-energy.org/data/monthly-electricity-data/
2003-04-01,ember-share-solar-us,us,0.021,https://ember-energy.org/data/monthly-electricity-data/
2003-05-01,ember-share-solar-us,us,0.022,https://ember-energy.org/data/monthly-electricity-data/
2003-06-01,ember-share-solar-us,us,0.028,https://ember-energy.org/data/monthly-electricity-data/
2003-07-01,ember-share-solar-us,us,0.017,https://ember-energy.org/data/monthly-electricity-data/
2003-08-01,ember-share-solar-us,us,0.016,https://ember-energy.org/data/monthly-electricity-data/
2003-09-01,ember-share-solar-us,us,0.017,https://ember-energy.org/data/monthly-electricity-data/
2003-10-01,ember-share-solar-us,us,0.011,https://ember-energy.org/data/monthly-electricity-data/
2003-11-01,ember-share-solar-us,us,0.005,https://ember-energy.org/data/monthly-electricity-data/
2003-12-01,ember-share-solar-us,us,0.001,https://ember-energy.org/data/monthly-electricity-data/
2004-01-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2004-02-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2004-03-01,ember-share-solar-us,us,0.017,https://ember-energy.org/data/monthly-electricity-data/
2004-04-01,ember-share-solar-us,us,0.02,https://ember-energy.org/data/monthly-electricity-data/
2004-05-01,ember-share-solar-us,us,0.025,https://ember-energy.org/data/monthly-electricity-data/
2004-06-01,ember-share-solar-us,us,0.026,https://ember-energy.org/data/monthly-electricity-data/
2004-07-01,ember-share-solar-us,us,0.022,https://ember-energy.org/data/monthly-electricity-data/
2004-08-01,ember-share-solar-us,us,0.02,https://ember-energy.org/data/monthly-electricity-data/
2004-09-01,ember-share-solar-us,us,0.018,https://ember-energy.org/data/monthly-electricity-data/
2004-10-01,ember-share-solar-us,us,0.011,https://ember-energy.org/data/monthly-electricity-data/
2004-11-01,ember-share-solar-us,us,0.005,https://ember-energy.org/data/monthly-electricity-data/
2004-12-01,ember-share-solar-us,us,0.002,https://ember-energy.org/data/monthly-electricity-data/
2005-01-01,ember-share-solar-us,us,0.003,https://ember-energy.org/data/monthly-electricity-data/
2005-02-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2005-03-01,ember-share-solar-us,us,0.012,https://ember-energy.org/data/monthly-electricity-data/
2005-04-01,ember-share-solar-us,us,0.02,https://ember-energy.org/data/monthly-electricity-data/
2005-05-01,ember-share-solar-us,us,0.026,https://ember-energy.org/data/monthly-electricity-data/
2005-06-01,ember-share-solar-us,us,0.024,https://ember-energy.org/data/monthly-electricity-data/
2005-07-01,ember-share-solar-us,us,0.018,https://ember-energy.org/data/monthly-electricity-data/
2005-08-01,ember-share-solar-us,us,0.019,https://ember-energy.org/data/monthly-electricity-data/
2005-09-01,ember-share-solar-us,us,0.018,https://ember-energy.org/data/monthly-electricity-data/
2005-10-01,ember-share-solar-us,us,0.012,https://ember-energy.org/data/monthly-electricity-data/
2005-11-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2005-12-01,ember-share-solar-us,us,0.001,https://ember-energy.org/data/monthly-electricity-data/
2006-01-01,ember-share-solar-us,us,0.004,https://ember-energy.org/data/monthly-electricity-data/
2006-02-01,ember-share-solar-us,us,0.007,https://ember-energy.org/data/monthly-electricity-data/
2006-03-01,ember-share-solar-us,us,0.01,https://ember-energy.org/data/monthly-electricity-data/
2006-04-01,ember-share-solar-us,us,0.018,https://ember-energy.org/data/monthly-electricity-data/
