date,indicator_id,region,value,source_url
2015-01-01,ember-share-wind-cn,cn,3.16,https://ember-energy.org/data/monthly-electricity-data/
2015-01-02,ember-share-wind-cn,cn,3.11,https://ember-energy.org/data/monthly-electricity-data/
2015-01-03,ember-share-wind-cn,cn,3.74,https://ember-energy.org/data/monthly-electricity-data/
2015-01-04,ember-share-wind-cn,cn,3.96,https://ember-energy.org/data/monthly-electricity-data/
2015-01-05,ember-share-wind-cn,cn,3.95,https://ember-energy.org/data/monthly-electricity-data/
2015-01-06,ember-share-wind-cn,cn,3.44,https://ember-energy.org/data/monthly-electricity-data/
2015-01-07,ember-share-wind-cn,cn,2.4,https://ember-energy.org/data/monthly-electricity-data/
2015-01-08,ember-share-wind-cn,cn,2.31,https://ember-energy.org/data/monthly-electricity-data/
2015-01-09,ember-share-wind-cn,cn,2.8,https://ember-energy.org/data/monthly-electricity-data/
2015-01-10,ember-share-wind-cn,cn,3.92,https://ember-energy.org/data/monthly-electricity-data/
2015-01-11,ember-share-wind-cn,cn,3.54,https://ember-energy.org/data/monthly-electricity-data/
2015-01-12,ember-share-wind-cn,cn,3.52,https://ember-energy.org/data/monthly-electricity-data/
2015-02-01,ember-share-wind-cn,cn,3.11,https://ember-energy.org/data/monthly-electricity-data/
2015-03-01,ember-share-wind-cn,cn,3.74,https://ember-energy.org/data/monthly-electricity-data/
2015-04-01,ember-share-wind-cn,cn,3.96,https://ember-energy.org/data/monthly-electricity-data/
2015-05-01,ember-share-wind-cn,cn,3.95,https://ember-energy.org/data/monthly-electricity-data/
2015-06-01,ember-share-wind-cn,cn,3.44,https://ember-energy.org/data/monthly-electricity-data/
2015-07-01,ember-share-wind-cn,cn,2.4,https://ember-energy.org/data/monthly-electricity-data/
2015-08-01,ember-share-wind-cn,cn,2.31,https://ember-energy.org/data/monthly-electricity-data/
2015-09-01,ember-share-wind-cn,cn,2.8,https://ember-energy.org/data/monthly-electricity-data/
2015-10-01,ember-share-wind-cn,cn,3.92,https://ember-energy.org/data/monthly-electricity-data/
2015-11-01,ember-share-wind-cn,cn,3.54,https://ember-energy.org/data/monthly-electricity-data/
2015-12-01,ember-share-wind-cn,cn,3.52,https://ember-energy.org/data/monthly-electricity-data/
2016-01-01,ember-share-wind-cn,cn,3.76,https://ember-energy.org/data/monthly-electricity-data/
2016-01-02,ember-share-wind-cn,cn,3.73,https://ember-energy.org/data/monthly-electricity-data/
2016-01-03,ember-share-wind-cn,cn,4.28,https://ember-energy.org/data/monthly-electricity-data/
2016-01-04,ember-share-wind-cn,cn,5.1,https://ember-energy.org/data/monthly-electricity-data/
2016-01-05,ember-share-wind-cn,cn,5.18,https://ember-energy.org/data/monthly-electricity-data/
2016-01-06,ember-share-wind-cn,cn,3.77,https://ember-energy.org/data/monthly-electricity-data/
2016-01-07,ember-share-wind-cn,cn,3.08,https://ember-energy.org/data/monthly-electricity-data/
2016-01-08,ember-share-wind-cn,cn,2.76,https://ember-energy.org/data/monthly-electricity-data/
2016-01-09,ember-share-wind-cn,cn,3.17,https://ember-energy.org/data/monthly-electricity-data/
