date,indicator_id,region,value,source_url
2018-04-01,ember-share-wind-jp,jp,0.889,https://ember-energy.org/data/monthly-electricity-data/
2018-05-01,ember-share-wind-jp,jp,0.761,https://ember-energy.org/data/monthly-electricity-data/
2018-06-01,ember-share-wind-jp,jp,0.65,https://ember-energy.org/data/monthly-electricity-data/
2018-07-01,ember-share-wind-jp,jp,0.429,https://ember-energy.org/data/monthly-electricity-data/
2018-08-01,ember-share-wind-jp,jp,0.501,https://ember-energy.org/data/monthly-electricity-data/
2018-09-01,ember-share-wind-jp,jp,0.509,https://ember-energy.org/data/monthly-electricity-data/
2018-10-01,ember-share-wind-jp,jp,0.795,https://ember-energy.org/data/monthly-electricity-data/
2018-11-01,ember-share-wind-jp,jp,0.67,https://ember-energy.org/data/monthly-electricity-data/
2018-12-01,ember-share-wind-jp,jp,1.144,https://ember-energy.org/data/monthly-electricity-data/
2019-01-01,ember-share-wind-jp,jp,1.1,https://ember-energy.org/data/monthly-electricity-data/
2019-02-01,ember-share-wind-jp,jp,0.94,https://ember-energy.org/data/monthly-electricity-data/
2019-03-01,ember-share-wind-jp,jp,0.975,https://ember-energy.org/data/monthly-electricity-data/
2019-04-01,ember-share-wind-jp,jp,0.84,https://ember-energy.org/data/monthly-electricity-data/
2019-05-01,ember-share-wind-jp,jp,0.733,https://ember-energy.org/data/monthly-electricity-data/
2019-06-01,ember-share-wind-jp,jp,0.606,https://ember-energy.org/data/monthly-electricity-data/
2019-07-01,ember-share-wind-jp,jp,0.493,https://ember-energy.org/data/monthly-electricity-data/
2019-08-01,ember-share-wind-jp,jp,0.505,https://ember-energy.org/data/monthly-electricity-data/
2019-09-01,ember-share-wind-jp,jp,0.55,https://ember-energy.org/data/monthly-electricity-data/
2019-10-01,ember-share-wind-jp,jp,0.868,https://ember-energy.org/data/monthly-electricity-data/
2019-11-01,ember-share-wind-jp,jp,1.117,https://ember-energy.org/data/monthly-electricity-data/
2019-12-01,ember-share-wind-jp,jp,1.093,https://ember-energy.org/data/monthly-electricity-data/
2020-01-01,ember-share-wind-jp,jp,1.029,https://ember-energy.org/data/monthly-electricity-data/
2020-02-01,ember-share-wind-jp,jp,1.039,https://ember-energy.org/data/monthly-electricity-data/
2020-03-01,ember-share-wind-jp,jp,1.138,https://ember-energy.org/data/monthly-electricity-data/
2020-04-01,ember-share-wind-jp,jp,1.247,https://ember-energy.org/data/monthly-electricity-data/
2020-05-01,ember-share-wind-jp,jp,0.994,https://ember-energy.org/data/monthly-electricity-data/
