date,indicator_id,region,value,source_url
2012-04-01,fit-price-solar-business,jp,40.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2013-04-01,fit-price-solar-business,jp,36.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2014-04-01,fit-price-solar-business,jp,32.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2015-04-01,fit-price-solar-business,jp,27.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2016-04-01,fit-price-solar-business,jp,24.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2017-04-01,fit-price-solar-business,jp,21.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2018-04-01,fit-price-solar-business,jp,18.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2019-04-01,fit-price-solar-business,jp,14.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2020-04-01,fit-price-solar-business,jp,13.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2021-04-01,fit-price-solar-business,jp,12.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2022-04-01,fit-price-solar-business,jp,11.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2023-04-01,fit-price-solar-business,jp,10.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2024-04-01,fit-price-solar-business,jp,10.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2025-04-01,fit-price-solar-business,jp,10.0,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/kakaku.html
2026-04-01,fit-price-solar-business,jp,9.9,https://www.enecho.meti.go.jp/category/saving_and_new/saiene/kaitori/fit_kakaku.html
