date,indicator_id,region,value,source_url
2018-05-18,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2017.csv
2018-08-10,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2018.csv
2018-11-09,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2018.csv
2019-03-01,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2018.csv
2019-05-17,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2018.csv
2019-08-09,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2019.csv
2019-11-08,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2019.csv
2020-02-07,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2019.csv
2020-05-15,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2019.csv
2020-08-21,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2020-11-13,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-02-12,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-05-14,nonfossil-cert-fit-price,jp,1.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-11-26,nonfossil-cert-fit-price,jp,0.33,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-02-10,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-05-13,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-08-31,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2022-11-30,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-02-28,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-05-25,nonfossil-cert-fit-price,jp,0.3,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-08-31,nonfossil-cert-fit-price,jp,0.41,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2023-11-30,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-02-29,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-05-24,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-08-30,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2024-11-29,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-02-28,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-05-23,nonfossil-cert-fit-price,jp,0.67,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-08-29,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2025-11-28,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2026-02-27,nonfossil-cert-fit-price,jp,0.4,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2026-05-22,nonfossil-cert-fit-price,jp,0.44,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
