date,indicator_id,region,value,source_url
2020-11-11,nonfossil-cert-nonfit-volume,jp,1246802451.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-02-09,nonfossil-cert-nonfit-volume,jp,805187831.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-05-12,nonfossil-cert-nonfit-volume,jp,3064717894.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2020.csv
2021-08-26,nonfossil-cert-nonfit-volume,jp,416692142.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2021-11-24,nonfossil-cert-nonfit-volume,jp,3129944302.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-02-08,nonfossil-cert-nonfit-volume,jp,2256578219.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-05-11,nonfossil-cert-nonfit-volume,jp,320400000.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2021.csv
2022-08-29,nonfossil-cert-nonfit-volume,jp,4361000.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2022-11-28,nonfossil-cert-nonfit-volume,jp,2157383303.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-02-24,nonfossil-cert-nonfit-volume,jp,136001186.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-05-23,nonfossil-cert-nonfit-volume,jp,1204474434.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2022.csv
2023-08-29,nonfossil-cert-nonfit-volume,jp,11343854974.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2023-11-28,nonfossil-cert-nonfit-volume,jp,220000.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-02-27,nonfossil-cert-nonfit-volume,jp,304724302.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-05-22,nonfossil-cert-nonfit-volume,jp,22127998.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2023.csv
2024-08-28,nonfossil-cert-nonfit-volume,jp,262301428.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2024-11-27,nonfossil-cert-nonfit-volume,jp,134855094.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-02-26,nonfossil-cert-nonfit-volume,jp,65559350.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-05-21,nonfossil-cert-nonfit-volume,jp,258221948.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2024.csv
2025-08-27,nonfossil-cert-nonfit-volume,jp,430722919.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2025-11-26,nonfossil-cert-nonfit-volume,jp,591678226.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2026-02-25,nonfossil-cert-nonfit-volume,jp,1001897014.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2026-05-20,nonfossil-cert-nonfit-volume,jp,2000515677.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2025.csv
2026-08-27,nonfossil-cert-nonfit-volume,jp,114830318.0,https://www.jepx.jp/js/csv_read.php?dir=nf_summary&file=nf_summary_2026.csv
