STATUS,200
MESSAGEID,M181000I
MESSAGE,Successfully completed
DATE,2026-05-26T09:11:42.952+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,EN
PARAMETER,DB,FM08
PARAMETER,STARTDATE,197301
PARAMETER,ENDDATE,203105
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES,UNIT,FREQUENCY,CATEGORY,LAST_UPDATE,SURVEY_DATES,VALUES
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197301,301.93
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197302,279.48
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197303,265.26
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197304,265.52
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197305,264.73
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197306,264.7
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197307,264.41
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197308,265.11
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197309,265.49
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197310,266.32
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197311,277.05
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197312,280
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197401,298.64
FXERM07,"US.Dollar/Yen Spot Rate at 17:00 in JST, Average in the Month, Tokyo Market",Yen per U.S. Dollar,MONTHLY,Foreign Exchange Rates,20260508,197402,291.24
