年度,開催回,商品,約定日,約定総量(kWh),約定価格(円/kWh),約定最高価格(円/kWh),約定最低価格(円/kWh),入札会員数,約定会員数,売り入札量(kWh),買い入札量(kWh)
2023,4,非FIT(再エネ指定なし),2024/5/22,22127998,0.6,-,-,11,11,1406324508,22127998
2023,4,非FIT(再エネ指定),2024/5/23,148849152,0.6,-,-,30,30,2485681201,148849152
2023,4,FIT,2024/5/24,8408544754,0.4,1,0.4,223,223,102648170176,8408544754
2023,3,非FIT(再エネ指定なし),2024/2/27,304724302,0.6,-,-,11,11,2130436883,304724302
2023,3,非FIT(再エネ指定),2024/2/28,852404376,0.6,-,-,23,22,3168877432,852404376
2023,3,FIT,2024/2/29,8167745818,0.4,0.6,0.4,247,247,81062186287,8167745818
2023,2,非FIT(再エネ指定なし),2023/11/28,220000,0.6,-,-,7,7,4673514268,220000
2023,2,非FIT(再エネ指定),2023/11/29,76441539,0.6,-,-,24,23,3300964252,76441539
2023,2,FIT,2023/11/30,8759781217,0.4,0.5,0.4,226,226,53966348920,8759781217
2023,1,非FIT(再エネ指定なし),2023/8/29,11343854974,0.6,-,-,12,11,13109424772,11343854974
2023,1,非FIT(再エネ指定),2023/8/30,628498120,0.6,-,-,30,26,4103560918,628498120
2023,1,FIT,2023/8/31,8505485167,0.41,4,0.4,202,202,27693070003,8505485167
