indicator_id,region,metric_kind,scope,key,old_value,old_at,new_value,new_at,abs_diff,rel_diff_pct
ember-co2-intensity-cn,cn,co2-intensity,latest_common_month,2026-06,,,515.667,,,
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2015,731.9183,n=12,731.9183,n=12,0.0,0.0
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2016,705.9217,n=12,705.6194,n=12,0.3022,0.043
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2017,694.7133,n=12,694.3252,n=12,0.3881,0.056
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2018,685.6108,n=12,686.8569,n=12,1.2461,0.182
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2019,669.4683,n=12,670.2789,n=12,0.8106,0.121
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2020,655.06,n=12,655.2995,n=12,0.2395,0.037
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2021,646.5783,n=12,648.0213,n=12,1.4429,0.223
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2022,629.21,n=12,630.5213,n=12,1.3113,0.208
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2023,624.7258,n=12,627.3717,n=12,2.6458,0.424
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2024,596.49,n=12,598.648,n=12,2.158,0.362
ember-co2-intensity-cn,cn,co2-intensity,calendar_year_mean,2025,563.4483,n=12,564.0772,n=12,0.6288,0.112
ember-co2-intensity-cn,cn,co2-intensity,period_min,all,513.08,2026-05,515.667,2026-06,2.587,0.504
ember-co2-intensity-cn,cn,co2-intensity,period_max,all,787.69,2015-02,787.69,2015-02,0.0,0.0
ember-co2-intensity-de,de,co2-intensity,latest_common_month,2026-06,274.6,,274.654,,0.054,0.02
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2015,520.6158,n=12,520.5106,n=12,0.1052,0.02
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2016,513.7892,n=12,513.8237,n=12,0.0345,0.007
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2017,480.36,n=12,480.4382,n=12,0.0783,0.016
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2018,466.4483,n=12,466.4354,n=12,0.0129,0.003
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2019,404.8883,n=12,404.8967,n=12,0.0083,0.002
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2020,366.0008,n=12,366.0149,n=12,0.0141,0.004
